iso3,Date,debt-to-gdp
FRA,2004-04-01,66.877
FRA,2004-05-01,66.877
FRA,2004-06-01,66.877
FRA,2004-07-01,66.877
FRA,2004-08-01,66.877
FRA,2004-09-01,66.877
FRA,2004-10-01,66.877
FRA,2004-11-01,66.877
FRA,2004-12-01,66.877
FRA,2005-01-01,68.188
FRA,2005-02-01,68.188
FRA,2005-03-01,68.188
FRA,2005-04-01,68.188
FRA,2005-05-01,68.188
FRA,2005-06-01,68.188
FRA,2005-07-01,68.188
FRA,2005-08-01,68.188
FRA,2005-09-01,68.188
FRA,2005-10-01,68.188
FRA,2005-11-01,68.188
FRA,2005-12-01,68.188
FRA,2006-01-01,65.4
FRA,2006-02-01,65.4
FRA,2006-03-01,65.4
FRA,2006-04-01,65.4
FRA,2006-05-01,65.4
FRA,2006-06-01,65.4
FRA,2006-07-01,65.4
FRA,2006-08-01,65.4
FRA,2006-09-01,65.4
FRA,2006-10-01,65.4
FRA,2006-11-01,65.4
FRA,2006-12-01,65.4
FRA,2007-01-01,65.479
FRA,2007-02-01,65.479
FRA,2007-03-01,65.479
FRA,2007-04-01,65.479
FRA,2007-05-01,65.479
FRA,2007-06-01,65.479
FRA,2007-07-01,65.479
FRA,2007-08-01,65.479
FRA,2007-09-01,65.479
FRA,2007-10-01,65.479
FRA,2007-11-01,65.479
FRA,2007-12-01,65.479
FRA,2008-01-01,69.819
FRA,2008-02-01,69.819
FRA,2008-03-01,69.819
FRA,2008-04-01,69.819
FRA,2008-05-01,69.819
FRA,2008-06-01,69.819
FRA,2008-07-01,69.819
FRA,2008-08-01,69.819
FRA,2008-09-01,69.819
FRA,2008-10-01,69.819
FRA,2008-11-01,69.819
FRA,2008-12-01,69.819
FRA,2009-01-01,84.057
FRA,2009-02-01,84.057
FRA,2009-03-01,84.057
FRA,2009-04-01,84.057
FRA,2009-05-01,84.057
FRA,2009-06-01,84.057
FRA,2009-07-01,84.057
FRA,2009-08-01,84.057
FRA,2009-09-01,84.057
FRA,2009-10-01,84.057
FRA,2009-11-01,84.057
FRA,2009-12-01,84.057
FRA,2010-01-01,86.279
FRA,2010-02-01,86.279
FRA,2010-03-01,86.279
FRA,2010-04-01,86.279
FRA,2010-05-01,86.279
FRA,2010-06-01,86.279
FRA,2010-07-01,86.279
FRA,2010-08-01,86.279
FRA,2010-09-01,86.279
FRA,2010-10-01,86.279
FRA,2010-11-01,86.279
FRA,2010-12-01,86.279
FRA,2011-01-01,88.748
FRA,2011-02-01,88.748
FRA,2011-03-01,88.748
FRA,2011-04-01,88.748
FRA,2011-05-01,88.748
FRA,2011-06-01,88.748
FRA,2011-07-01,88.748
FRA,2011-08-01,88.748
FRA,2011-09-01,88.748
FRA,2011-10-01,88.748
FRA,2011-11-01,88.748
FRA,2011-12-01,88.748
FRA,2012-01-01,91.74
FRA,2012-02-01,91.74
FRA,2012-03-01,91.74
FRA,2012-04-01,91.74
FRA,2012-05-01,91.74
FRA,2012-06-01,91.74
FRA,2012-07-01,91.74
FRA,2012-08-01,91.74
FRA,2012-09-01,91.74
FRA,2012-10-01,91.74
