year,iso3c,mineral_rent
2008,BRA,1.86813935454653
2009,BRA,0.590993460618904
2010,BRA,1.63133477933765
2011,BRA,1.81291052174163
2012,BRA,1.28444928435221
2013,BRA,1.36949504191434
2014,BRA,0.819525992656112
2015,BRA,0.570992536585529
2016,BRA,0.771513115023924
2017,BRA,0.827049853703138
2018,BRA,0.839935533119731
2019,BRA,0.79915174911943
2020,BRA,1.14458939921673
2021,BRA,4.48894018515032
1995,BRB,0.0
1996,BRB,0.0
1997,BRB,0.0
1998,BRB,0.0
1999,BRB,0.0
2000,BRB,0.0
2001,BRB,0.0
2002,BRB,0.0
2003,BRB,0.0
2004,BRB,0.0
2005,BRB,0.0
2006,BRB,0.0
2007,BRB,0.0
2008,BRB,0.0
2009,BRB,0.0
2010,BRB,0.0
2011,BRB,0.0
2012,BRB,0.0
2013,BRB,0.0
2014,BRB,0.0
2015,BRB,0.0
2016,BRB,0.0
2017,BRB,0.0
2018,BRB,0.0
2019,BRB,0.0
2020,BRB,0.0
2021,BRB,0.0
1995,BRN,0.0
1996,BRN,0.0
1997,BRN,0.0
1998,BRN,0.0
1999,BRN,0.0
2000,BRN,0.0
2001,BRN,0.0
2002,BRN,0.0
2003,BRN,0.0
2004,BRN,0.0
2005,BRN,0.0
2006,BRN,0.0
2007,BRN,0.0
2008,BRN,0.0
2009,BRN,0.0
2010,BRN,0.0
2011,BRN,0.0
2012,BRN,0.0
2013,BRN,0.0
2014,BRN,0.0
2015,BRN,0.0
2016,BRN,0.0
2017,BRN,0.0
2018,BRN,0.0
2019,BRN,0.0
2020,BRN,0.0
2021,BRN,0.0
1995,BTN,0.0
1996,BTN,0.0
1997,BTN,0.0
1998,BTN,0.0
1999,BTN,0.0
2000,BTN,0.0
2001,BTN,0.0
2002,BTN,0.0
2003,BTN,0.0
2004,BTN,0.0
2005,BTN,0.0296108217912019
2006,BTN,0.0279021600404686
2007,BTN,0.0
2008,BTN,0.0
2009,BTN,0.0
2010,BTN,0.0
2011,BTN,0.0
2012,BTN,0.0221312240981869
2013,BTN,0.126629869230923
2014,BTN,0.0670274097883301
2015,BTN,0.0644025812863949
2016,BTN,0.0452314045297359
2017,BTN,0.0540584874730229
2018,BTN,0.0696622256776991
2019,BTN,0.103603698823657
2020,BTN,0.0524082823857014
2021,BTN,0.0750347930087043
1995,BWA,1.44847120894485
1996,BWA,0.490842683780012
1997,BWA,0.728962454318317
1998,BWA,0.180956861366555
1999,BWA,0.935691248771073
2000,BWA,1.9342105987552
2001,BWA,0.602410887426727
2002,BWA,0.370227785209537
2003,BWA,1.41345478237527
2004,BWA,2.60289908335249
2005,BWA,1.80451408678862
2006,BWA,5.8715277565173
2007,BWA,6.72227465431483
2008,BWA,2.74590642530052
2009,BWA,1.5646188550371
2010,BWA,1.33622855939048
2011,BWA,1.20501593357667
2012,BWA,1.35326347337962
2013,BWA,0.617000175777391
2014,BWA,0.221227865232098
2015,BWA,0.0458970459055873
2016,BWA,0.059400480666283
2017,BWA,0.0638031677366841
2018,BWA,0.062240812691455
2019,BWA,0.0539100990692102
2020,BWA,0.0692367788657271
2021,BWA,0.242401015769655
1995,CAF,0.0121625622639931
1996,CAF,0.0320684954495187
1997,CAF,0.0209711728973715
1998,CAF,0.00900189011330563
1999,CAF,0.00510609429482512
2000,CAF,0.00268071275368099
2001,CAF,0.00433400512692771
2002,CAF,0.00521228510367512
2003,CAF,0.00230510920825197
2004,CAF,0.000693933579054636
2005,CAF,0.00218731694397849
2006,CAF,0.00373003251029934
2007,CAF,0.00366106045431971
2008,CAF,0.0176030768666518
2009,CAF,0.0283705393270576
2010,CAF,0.0347440245644676
2011,CAF,0.0447415565872955
2012,CAF,0.042192971015475
2013,CAF,0.0460300011133632
2014,CAF,0.0335637510136221
2015,CAF,0.0282855145599758
2016,CAF,0.0337874046918489
2017,CAF,0.0474263730896755
2018,CAF,0.0556825136573876
2019,CAF,0.0696846840058246
2020,CAF,0.187943545798735
2021,CAF,0.76804803651011
1995,CAN,0.403004702773876
1996,CAN,0.298429960631947
1997,CAN,0.218185373462659
1998,CAN,0.104340832200499
1999,CAN,0.125058639678642
2000,CAN,0.180010591231763
2001,CAN,0.122183454333239
2002,CAN,0.138256427266278
2003,CAN,0.153175450905851
2004,CAN,0.285289345037603
2005,CAN,0.278767398290625
2006,CAN,0.602746949973667
2007,CAN,0.785283814075548
2008,CAN,0.513529436655604
2009,CAN,0.203571172276145
2010,CAN,0.449991271187577
2011,CAN,0.555035051706879
2012,CAN,0.33817353580594
2013,CAN,0.280229667910082
2014,CAN,0.252537145628929
2015,CAN,0.153735192881661
2016,CAN,0.160582352644183
2017,CAN,0.204739486731936
2018,CAN,0.125273089273862
2019,CAN,0.188938776268746
2020,CAN,0.233498836098608
2021,CAN,1.18426034810901
1995,CEB,0.148983133384278
1996,CEB,0.0813711768176781
1997,CEB,0.100483169847807
1998,CEB,0.0240887887052631
1999,CEB,0.0244120594552076
2000,CEB,0.0455897058254983
2001,CEB,0.0141146654123481
2002,CEB,0.0180710858018759
2003,CEB,0.0269337346175004
2004,CEB,0.0932355056629159
2005,CEB,0.100260600272754
2006,CEB,0.276739169266454
2007,CEB,0.214617653747685
2008,CEB,0.0978474936725542
2009,CEB,0.100458389397973
2010,CEB,1.19141346064997
2011,CEB,1.63371181108996
2012,CEB,1.10903864087391
2013,CEB,1.02506723329382
2014,CEB,0.995758182476969
2015,CEB,0.314488827662999
2016,CEB,0.566643142249721
2017,CEB,0.91465816781824
2018,CEB,0.783138664951143
2019,CEB,0.0864341813515897
2020,CEB,0.0758075479447946
2021,CEB,0.203084311586505
1995,CHE,0.0
1996,CHE,0.0
1997,CHE,0.0
1998,CHE,0.0
1999,CHE,0.0
2000,CHE,0.0
2001,CHE,0.0
2002,CHE,0.0
2003,CHE,0.0
2004,CHE,0.0
2005,CHE,0.0
2006,CHE,0.0
2007,CHE,0.0
2008,CHE,0.0
2009,CHE,0.0
2010,CHE,7.47099527614027e-05
2011,CHE,0.000158290078438681
2012,CHE,0.000120322502342235
2013,CHE,0.000106794575909661
2014,CHE,7.91492699486152e-05
2015,CHE,0.0
2016,CHE,0.0
2017,CHE,0.0
2018,CHE,0.0
2019,CHE,0.0
2020,CHE,0.0
2021,CHE,0.0
1998,CHI,0.0
1999,CHI,0.0
2000,CHI,0.0
2001,CHI,0.0
2002,CHI,0.0
2003,CHI,0.0
2004,CHI,0.0
2005,CHI,0.0
2006,CHI,0.0
2007,CHI,0.0
1995,CHL,5.71244002014051
1996,CHL,4.35408641638342
1997,CHL,4.10331909636315
1998,CHL,1.99827242912151
1999,CHL,2.99596980125977
2000,CHL,4.3408550303353
2001,CHL,3.31968916729076
2002,CHL,2.82461629362167
2003,CHL,4.38038439919149
2004,CHL,9.08081866316417
2005,CHL,9.27535102760256
2006,CHL,16.8703851667569
2007,CHL,16.5646131991133
2008,CHL,13.0984754101501
2009,CHL,8.12539086996139
2010,CHL,11.317663311545
2011,CHL,11.524686737595
2012,CHL,8.45777139773805
2013,CHL,7.00031067490142
2014,CHL,6.15970096777187
2015,CHL,3.28771652306778
2016,CHL,2.42915567711849
2017,CHL,4.40604754508335
2018,CHL,4.99157894253016
2019,CHL,1.75323566107489
2020,CHL,4.60239970949196
