"DATASET","SERIES_CODE","OBS_MEASURE","COUNTRY","INDICATOR","FREQUENCY","SCALE","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
"IMF.RES:WEO(6.0.0)","BTN.NGDPDPC.A","OBS_VALUE","Bhutan","Gross domestic product (GDP), Current prices, Per capita, US dollar","Annual","Units","534.936","463.886","460.315","489.421","503.544","592.222","617.664","680.765","729.494","744.437","788.235","798.134","845.523","982.756","1089.525","1245.061","1310.353","1580.749","1973.466","1836.92","2178.094","2649.877","2742.347","2757.524","2680.038","2917.754","3016.073","3270.276","3491.905","3423.374","3357.954","3385.044","3677.509","3723.566","3913.004","4302.305"
"IMF.RES:WEO(6.0.0)","CMR.NGDPDPC.A","OBS_VALUE","Cameroon","Gross domestic product (GDP), Current prices, Per capita, US dollar","Annual","Units","1255.123","1357.676","1207.539","1222.984","808.04","745.55","808.211","794.939","772.304","765.544","660.382","687.404","756.14","949.02","1089.418","1101.546","1147.497","1277.667","1439.39","1409.942","1353.407","1464.888","1404.412","1527.773","1604.627","1382.65","1412.866","1468.929","1585.96","1533.161","1539.354","1654.245","1592.262","1722.685","1800.59","1865.064"
"IMF.RES:WEO(6.0.0)","BRN.NGDPDPC.A","OBS_VALUE","Brunei Darussalam","Gross domestic product (GDP), Current prices, Per capita, US dollar","Annual","Units","21998.18","22838.85","23414.478","23131.921","24173.802","28187.891","27695.611","26431.593","19582.05","20648.806","20473.284","18646.04","19037.814","20975.54","24759.511","29459.699","34869.24","36678.272","42529.703","31287.341","35437.251","47092.346","47776.368","44865.244","41947.487","31353.779","27321.997","28443.168","31074.01","29865.278","27174.73","31781.303","37452.922","33507.412","34044.497","34969.745"
"IMF.RES:WEO(6.0.0)","BGR.NGDPDPC.A","OBS_VALUE","Bulgaria","Gross domestic product (GDP), Current prices, Per capita, US dollar","Annual","Units","3407.07","336.65","1380.594","758.059","1348.67","2284.824","1494.786","1386.466","1854.468","1689.293","1625.322","1797.392","2090.683","2710.577","3370.382","3869.588","4477.028","5815.474","7161.75","6878.061","6754.23","7872.225","7453.726","7703.869","7925.445","7096.339","7593.706","8409.665","9473.889","9874.073","10215.862","12352.357","14069.944","15892.404","17588.432","18521.929"
"IMF.RES:WEO(6.0.0)","BFA.NGDPDPC.A","OBS_VALUE","Burkina Faso","Gross domestic product (GDP), Current prices, Per capita, US dollar","Annual","Units","381.987","376.497","393.316","365.7","214.467","258.491","273.892","252.618","281.638","293.779","249.18","260.445","286.551","363.727","405.267","443.189","457.366","516.811","621.822","603.222","627.783","727.484","734.438","762.315","767.569","632.191","665.575","710.541","780.482","768.053","828.777","893.5","863.905","910.947","1005.493","1106.535"
"IMF.RES:WEO(6.0.0)","BIH.NGDPDPC.A","OBS_VALUE","Bosnia and Herzegovina","Gross domestic product (GDP), Current prices, Per capita, US dollar","Annual","Units","","","","","","","952.331","1225.456","1415.096","1540.514","1484.344","1544.771","1789.896","2260.344","2699.054","2980.031","3414.236","4194.242","5091.316","4714.653","4637.236","5094.054","4778.568","5148.43","5263.395","4662.977","4875.228","5230.13","5859.283","5867.26","5800.39","6800.487","7064.286","7965.268","8334.086","8361.712"
"IMF.RES:WEO(6.0.0)","BOL.NGDPDPC.A","OBS_VALUE","Bolivia","Gross domestic product (GDP), Current prices, Per capita, US dollar","Annual","Units","723.431","776.711","803.547","793.646","805.183","886.368","956.965","1006.102","1057.72","1010.58","994.617","949.383","904.851","908.203","968.545","1037.176","1226.845","1383.894","1729.369","1769.441","1972.684","2368.523","2635.933","2938.421","3114.966","3069.319","3110.874","3388.523","3588.089","3591.403","3172.556","3449.205","3706.442","3748.093","3938.517","4525.201"
"IMF.RES:WEO(6.0.0)","BRA.NGDPDPC.A","OBS_VALUE","Brazil","Gross domestic product (GDP), Current prices, Per capita, US dollar","Annual","Units","3106.116","2677.837","2523.736","2787.164","3495.239","4851.99","5204.574","5321.137","5123.549","3501.438","3751.971","3163.671","2844.405","3077.735","3647.959","4806.171","5906.244","7374.237","8863.269","8640.934","11341.268","13326.088","12465.45","12406.559","12230.669","8893.346","8812.503","10055.567","9281.668","9010.512","7057.072","7951.553","9256.482","10350.437","10214.032","9964.1"
"IMF.RES:WEO(6.0.0)","CAN.NGDPDPC.A","OBS_VALUE","Canada","Gross domestic product (GDP), Current prices, Per capita, US dollar","Annual","Units","21572.137","21885.57","20984.778","20210.452","20024.581","20706.725","21325.69","21930.485","21046.556","22340.553","24296.721","23859.77","24279.8","28340.085","32178.496","36440.967","40559.017","44717.074","46773.744","40989.278","47625.742","52285.815","52745.057","52711.32","51025.428","43628.425","42382.499","45192.368","46617.97","46430.975","43573.195","52912.175","56358.067","54376.269","54473.186","53558.062"
"IMF.RES:WEO(6.0.0)","BWA.NGDPDPC.A","OBS_VALUE","Botswana","Gross domestic product (GDP), Current prices, Per capita, US dollar","Annual","Units","2797.478","2718.95","2729.751","2674.397","2802.477","3084.8","3087.859","3071.641","2886.26","3188.541","3290.347","3099.104","3005.538","4088.461","4743.633","5194.705","5142.914","5371.808","5345.848","4938.25","6041.732","7080.778","6392.987","6436.603","6844.033","5869.738","6411.552","6705.341","6947.818","6679.188","5863.182","7243.863","7725.804","7255.593","7117.095","7020.672"
"IMF.RES:WEO(6.0.0)","KHM.NGDPDPC.A","OBS_VALUE","Cambodia","Gross domestic product (GDP), Current prices, Per capita, US dollar","Annual","Units","102.928","222.358","260.32","249.997","273.274","328.965","326.774","313.733","276.835","304.119","313.224","345.368","368.731","406.869","465.695","550.21","639.874","763.623","903.246","912.75","992.085","1133.384","1241.402","1356.991","1485.892","1606.561","1735.785","1888.07","2097.235","2281.377","2136.009","2217.723","2365.226","2545.522","2754.508","2869.65"
"IMF.RES:WEO(6.0.0)","CPV.NGDPDPC.A","OBS_VALUE","Cabo Verde","Gross domestic product (GDP), Current prices, Per capita, US dollar","Annual","Units","1224.464","1284.552","1356.281","1190.076","1247.034","1540.817","1611.23","1568.812","1631.763","1709.177","1689.524","1875.159","2015.386","2524.325","2839.287","3090.988","3174.469","3565.274","4189.744","3918.604","3818.598","4259.084","3958.495","4174.748","4178.127","3560.703","3748.574","4029.514","4431.844","4505.893","3649.151","4072.362","4557.702","5083.19","5328.689","5421.138"
"IMF.RES:WEO(6.0.0)","COG.NGDPDPC.A","OBS_VALUE","Congo, Republic of","Gross domestic product (GDP), Current prices, Per capita, US dollar","Annual","Units","1219.584","1237.554","1301.275","1157.837","774.866","896.009","1008.344","893.112","762.522","877.222","1156.361","933.558","999.604","1128.049","1439.638","1811.59","2116.981","2220.174","2848.341","2281.47","2965.182","3414.461","3756.238","3719.705","3623.464","2348.056","2106.937","2226.946","2716.492","2509.047","2014.193","2293.987","2339.437","2308.52","2360.4","2355.902"
"IMF.RES:WEO(6.0.0)","HRV.NGDPDPC.A","OBS_VALUE","Croatia, Republic of","Gross domestic product (GDP), Current prices, Per capita, US dollar","Annual","Units","","","120.042","1591.119","3684.259","4639.057","4918.625","4834.056","5325.804","5180.756","5054.8","5364.441","6215.467","8189.464","9714.208","10448.914","11503.712","13759.504","15886.172","14461.183","13744.345","14690.167","13492.197","14063.402","14190.35","12286.053","12817.079","13899.034","15465.998","15566.354","14797.883","17802.327","18480.292","21869.502","23989.148","25673.571"
"IMF.RES:WEO(6.0.0)","CRI.NGDPDPC.A","OBS_VALUE","Costa Rica","Gross domestic product (GDP), Current prices, Per capita, US dollar","Annual","Units","1880.75","2305.412","2684.089","2926.912","3110.154","3336.709","3277.614","3450.907","3653.154","3715.408","3941.14","4041.943","4122.829","4227.819","4483.59","4756.337","5309.271","6194.045","6993.896","6879.266","8268.859","9270.571","10107.452","10764.529","10853.638","11635.197","11986.918","12185.259","12428.924","12691.127","12163.927","12539.282","13239.876","16390.222","17908.546","19095.412"
"IMF.RES:WEO(6.0.0)","COL.NGDPDPC.A","OBS_VALUE","Colombia","Gross domestic product (GDP), Current prices, Per capita, US dollar","Annual","Units","1691.106","1712.347","1986.543","2209.203","2726.817","3035.313","3137.068","3399.33","3090.903","2673.665","2535.477","2461.328","2424.349","2313.535","2827.173","3493.965","3836.672","4834.416","5622.109","5330.795","6498.585","7518.304","8237.306","8409.7","8312.056","6337.03","6037.133","6577.287","6923.64","6540.141","5363.241","6231.24","6687.587","7015.002","7942.589","8054.24"
"IMF.RES:WEO(6.0.0)","CIV.NGDPDPC.A","OBS_VALUE","Côte d'Ivoire","Gross domestic product (GDP), Current prices, Per capita, US dollar","Annual","Units","1348.805","1260.371","1288.913","1161.76","848.957","1091.591","1171.414","1092.136","1134.494","1082.768","913.448","925.966","996.887","1198.538","1259.645","1262.108","1279.071","1421.758","1650.425","1607.992","1597.512","1602.649","1623.908","1843.024","2026.153","1846.22","1896.474","2000.09","2167.041","2173.778","2209.109","2478.224","2351.187","2560.951","2723.207","2872.045"
"IMF.RES:WEO(6.0.0)","CHL.NGDPDPC.A","OBS_VALUE","Chile","Gross domestic product (GDP), Current prices, Per capita, US dollar","Annual","Units","2521.569","2849.743","3392.088","3572.096","4058.557","5153.88","5387.405","5799.339","5475.546","4985.768","5099.922","4608.057","4479.771","4824.87","6183.906","7558.009","9410.392","10447.116","10759.738","10176.733","12723.064","14560.249","15316.01","15740.391","14582.85","13494.489","13722.878","15003.77","15755.003","14551.577","13056.638","16028.325","15193.738","16814.208","16439.479","17015.08"
"IMF.RES:WEO(6.0.0)","COD.NGDPDPC.A","OBS_VALUE","Congo, Democratic Republic of the","Gross domestic product (GDP), Current prices, Per capita, US dollar","Annual","Units","1192.38","1120.914","973.197","1222.443","639.608","601.803","750.736","642.729","461.123","410.453","397.025","146.542","171.076","171.505","189.173","226.776","265.901","310.819","366.699","291.745","338.802","387.825","427.848","481.137","512.244","519.68","477.259","478.789","564.342","578.891","546.43","590.149","654.166","644.355","688.112","742.54"
"IMF.RES:WEO(6.0.0)","CHN.NGDPDPC.A","OBS_VALUE","China, People's Republic of","Gross domestic product (GDP), Current prices, Per capita, US dollar","Annual","Units","347.545","359.122","422.899","524.75","472.505","609.022","709.843","782.914","829.995","875.403","962.844","1058.845","1157.325","1300.767","1522.4","1778.515","2128.055","2733.851","3503.948","3878.741","4578.228","5651.562","6388.178","7155.028","7774.592","8174.332","8222.25","8930.226","10040.46","10334.456","10695.519","12877.533","12968.171","12960.729","13312.7","13687.267"
