"DATASET","SERIES_CODE","OBS_MEASURE","COUNTRY","INDICATOR","FREQUENCY","SCALE","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
"IMF.RES:WEO(6.0.0)","YEM.NGDPD.A","OBS_VALUE","Yemen, Republic of","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","12.644","14.665","17.959","21.737","28.019","12.796","6.496","6.838","6.322","7.639","9.679","9.853","10.693","11.778","13.868","16.732","19.063","21.651","26.911","25.13","30.907","32.726","35.401","40.415","43.229","42.444","31.318","26.842","21.606","21.888","20.22","19.394","23.534","19.412","19.101","17.401"
"IMF.RES:WEO(6.0.0)","WBG.NGDPD.A","OBS_VALUE","West Bank and Gaza","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","","","","","2.843","3.283","3.41","3.76","4.068","4.271","4.314","4.004","3.556","3.968","4.603","5.126","5.348","5.816","7.31","8.086","9.682","11.186","12.208","13.516","13.99","13.972","15.405","16.128","16.277","17.134","15.532","18.109","19.166","17.848","",""
"IMF.RES:WEO(6.0.0)","ZWE.NGDPD.A","OBS_VALUE","Zimbabwe","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","10.143","9.45","7.793","7.569","7.959","8.263","10.117","10.386","12.099","11.768","11.34","11.243","10.734","9.573","9.465","9.045","8.141","7.784","6.707","9.666","12.042","14.102","17.115","19.091","19.496","19.963","20.549","22.04","36.922","26.033","26.878","36.016","32.613","35.144","35.224","38.172"
"IMF.RES:WEO(6.0.0)","BGD.NGDPD.A","OBS_VALUE","Bangladesh","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","41.068","42.488","43.292","43.684","46.438","51.842","55.445","57.599","59.879","61.526","61.687","62.537","65.036","71.755","77.152","79.53","86.028","95.374","109.765","122.76","138.094","154.097","159.749","179.676","207.102","233.687","265.236","293.755","321.379","351.238","373.902","416.265","460.201","451.534","451.096","467.218"
"IMF.RES:WEO(6.0.0)","BHS.NGDPD.A","OBS_VALUE","Bahamas, The","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","5.218","5.128","5.125","5.097","5.372","5.653","5.95","6.332","6.833","7.684","8.076","8.318","8.881","8.87","9.055","9.836","10.167","10.618","10.526","9.982","10.096","10.07","10.72","10.396","10.974","11.672","11.745","12.237","12.616","13.016","9.958","11.369","13.136","14.338","14.761","15.178"
"IMF.RES:WEO(6.0.0)","BRB.NGDPD.A","OBS_VALUE","Barbados","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","2.084","2.092","2.015","2.136","2.227","2.348","2.515","2.667","3.057","3.21","3.312","3.306","3.364","3.479","3.754","4.213","4.702","5.273","5.401","5.064","5.138","5.302","5.233","5.338","5.366","5.288","5.331","5.517","5.63","5.788","5.168","5.275","6.257","6.721","7.167","7.552"
"IMF.RES:WEO(6.0.0)","BHR.NGDPD.A","OBS_VALUE","Bahrain, Kingdom of","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","5.176","5.43","5.673","6.241","6.683","7.075","7.357","7.629","7.293","7.905","9.448","9.579","10.001","11.546","13.709","16.647","19.291","22.653","26.803","23.913","26.806","29.915","31.963","33.823","34.773","32.523","33.885","37.205","39.568","40.447","35.838","40.84","46.458","46.192","46.943","47.829"
"IMF.RES:WEO(6.0.0)","BEN.NGDPD.A","OBS_VALUE","Benin","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","2.89","2.954","3.284","3.199","2.227","2.993","3.251","3.124","3.362","3.681","3.522","3.666","4.191","5.348","6.187","6.571","7.034","8.17","9.787","9.728","9.543","10.691","11.148","12.518","13.288","11.389","11.818","12.697","14.257","14.392","15.674","17.699","17.439","19.679","21.249","22.236"
"IMF.RES:WEO(6.0.0)","BLZ.NGDPD.A","OBS_VALUE","Belize","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","0.547","0.597","0.696","0.753","0.772","0.819","0.851","0.873","0.929","1.0","1.139","1.173","1.245","1.309","1.401","1.475","1.591","1.707","1.739","1.688","1.746","1.827","1.909","2.033","2.138","2.193","2.24","2.266","2.293","2.388","2.043","2.421","2.847","3.067","3.427","3.611"
"IMF.RES:WEO(6.0.0)","BEL.NGDPD.A","OBS_VALUE","Belgium","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","200.15","205.37","228.733","218.721","238.623","288.302","279.292","253.022","258.876","258.503","236.897","236.748","258.2","318.004","369.047","385.927","408.281","470.978","517.271","484.488","481.949","527.106","498.731","524.106","538.127","461.091","474.141","500.733","542.885","536.787","529.269","598.892","593.906","644.968","664.965","684.864"
