Date,Ticker,Open,High,Low,Close
11/02/2016,IGGRC10D,,,,8.1020000
11/03/2016,IGGRC10D,,,,7.9320000
11/04/2016,IGGRC10D,,,,7.8600000
11/07/2016,IGGRC10D,,,,7.6450000
11/08/2016,IGGRC10D,,,,7.4400000
11/09/2016,IGGRC10D,,,,7.3540000
11/10/2016,IGGRC10D,,,,7.3520000
11/11/2016,IGGRC10D,,,,7.2960000
11/14/2016,IGGRC10D,,,,7.3570000
11/15/2016,IGGRC10D,,,,7.3950000
11/16/2016,IGGRC10D,,,,7.4390000
11/17/2016,IGGRC10D,,,,7.4020000
11/18/2016,IGGRC10D,,,,7.1760000
11/21/2016,IGGRC10D,,,,7.0560000
11/22/2016,IGGRC10D,,,,6.9920000
11/23/2016,IGGRC10D,,,,6.8990000
11/24/2016,IGGRC10D,,,,6.9090000
11/25/2016,IGGRC10D,,,,6.9410000
11/28/2016,IGGRC10D,,,,6.9930000
11/29/2016,IGGRC10D,,,,6.9510000
11/30/2016,IGGRC10D,,,,6.9160000
12/01/2016,IGGRC10D,,,,6.5770000
12/02/2016,IGGRC10D,,,,6.4440000
12/05/2016,IGGRC10D,,,,6.5120000
12/06/2016,IGGRC10D,,,,6.5370000
12/07/2016,IGGRC10D,,,,6.7090000
12/08/2016,IGGRC10D,,,,6.6620000
12/09/2016,IGGRC10D,,,,6.7120000
12/12/2016,IGGRC10D,,,,6.6940000
12/13/2016,IGGRC10D,,,,6.7350000
12/14/2016,IGGRC10D,,,,6.7570000
12/15/2016,IGGRC10D,,,,7.2360000
12/16/2016,IGGRC10D,,,,7.3430000
12/19/2016,IGGRC10D,,,,7.2750000
12/20/2016,IGGRC10D,,,,7.3120000
12/21/2016,IGGRC10D,,,,7.2380000
12/22/2016,IGGRC10D,,,,7.2050000
12/23/2016,IGGRC10D,,,,7.2070000
12/26/2016,IGGRC10D,,,,7.1940000
12/27/2016,IGGRC10D,,,,7.2530000
12/28/2016,IGGRC10D,,,,7.1690000
12/29/2016,IGGRC10D,,,,7.1420000
12/30/2016,IGGRC10D,,,,7.1420000
01/02/2017,IGGRC10D,,,,7.1230000
01/03/2017,IGGRC10D,,,,7.0330000
01/04/2017,IGGRC10D,,,,6.7230000
01/05/2017,IGGRC10D,,,,6.7360000
01/06/2017,IGGRC10D,,,,6.7010000
01/09/2017,IGGRC10D,,,,6.7810000
01/10/2017,IGGRC10D,,,,6.9300000
01/11/2017,IGGRC10D,,,,6.9290000
01/12/2017,IGGRC10D,,,,6.8980000
01/13/2017,IGGRC10D,,,,6.9720000
