Date,Ticker,Open,High,Low,Close
06/14/2010,IGGRC10D,,,,8.3600000
06/15/2010,IGGRC10D,,,,8.3600000
06/16/2010,IGGRC10D,,,,9.3800000
06/17/2010,IGGRC10D,,,,9.3700000
06/18/2010,IGGRC10D,,,,9.4200000
06/21/2010,IGGRC10D,,,,9.5100000
06/22/2010,IGGRC10D,,,,9.7500000
06/23/2010,IGGRC10D,,,,10.6100000
06/24/2010,IGGRC10D,,,,10.4700000
06/25/2010,IGGRC10D,,,,10.5200000
06/28/2010,IGGRC10D,,,,10.5500000
06/29/2010,IGGRC10D,,,,10.5300000
06/30/2010,IGGRC10D,,,,10.4500000
07/01/2010,IGGRC10D,,,,10.3600000
07/02/2010,IGGRC10D,,,,10.2100000
07/05/2010,IGGRC10D,,,,10.3300000
07/06/2010,IGGRC10D,,,,10.2600000
07/07/2010,IGGRC10D,,,,10.2200000
07/08/2010,IGGRC10D,,,,10.2500000
07/09/2010,IGGRC10D,,,,10.3100000
07/12/2010,IGGRC10D,,,,10.3400000
07/13/2010,IGGRC10D,,,,10.3600000
07/14/2010,IGGRC10D,,,,10.2900000
07/15/2010,IGGRC10D,,,,10.4000000
07/16/2010,IGGRC10D,,,,10.3400000
07/19/2010,IGGRC10D,,,,10.4100000
07/20/2010,IGGRC10D,,,,10.4600000
07/21/2010,IGGRC10D,,,,10.5900000
07/22/2010,IGGRC10D,,,,10.4900000
07/23/2010,IGGRC10D,,,,10.3800000
07/26/2010,IGGRC10D,,,,10.4500000
07/27/2010,IGGRC10D,,,,10.2600000
07/28/2010,IGGRC10D,,,,10.3400000
07/29/2010,IGGRC10D,,,,10.2200000
07/30/2010,IGGRC10D,,,,10.2400000
08/02/2010,IGGRC10D,,,,10.1900000
08/03/2010,IGGRC10D,,,,10.1500000
08/04/2010,IGGRC10D,,,,10.2400000
08/05/2010,IGGRC10D,,,,10.2100000
08/06/2010,IGGRC10D,,,,10.1700000
08/09/2010,IGGRC10D,,,,10.1700000
08/10/2010,IGGRC10D,,,,10.3500000
08/11/2010,IGGRC10D,,,,10.3600000
08/12/2010,IGGRC10D,,,,10.3700000
08/13/2010,IGGRC10D,,,,10.5100000
08/16/2010,IGGRC10D,,,,10.6200000
08/17/2010,IGGRC10D,,,,10.6600000
08/18/2010,IGGRC10D,,,,10.7300000
08/19/2010,IGGRC10D,,,,10.6300000
08/20/2010,IGGRC10D,,,,10.7300000
08/23/2010,IGGRC10D,,,,10.7900000
08/24/2010,IGGRC10D,,,,11.0300000
08/25/2010,IGGRC10D,,,,11.4900000
08/26/2010,IGGRC10D,,,,11.4600000
08/27/2010,IGGRC10D,,,,11.4800000
08/30/2010,IGGRC10D,,,,11.5800000
08/31/2010,IGGRC10D,,,,11.4800000
09/01/2010,IGGRC10D,,,,11.3200000
09/02/2010,IGGRC10D,,,,11.2800000
09/03/2010,IGGRC10D,,,,11.3000000
09/06/2010,IGGRC10D,,,,11.4300000
09/07/2010,IGGRC10D,,,,11.6900000
09/08/2010,IGGRC10D,,,,11.8400000
09/09/2010,IGGRC10D,,,,11.8200000
09/10/2010,IGGRC10D,,,,11.7400000
09/13/2010,IGGRC10D,,,,11.5900000
09/14/2010,IGGRC10D,,,,11.4900000
09/15/2010,IGGRC10D,,,,11.4400000
09/16/2010,IGGRC10D,,,,11.5400000
09/17/2010,IGGRC10D,,,,11.5300000
09/20/2010,IGGRC10D,,,,11.5500000
09/21/2010,IGGRC10D,,,,11.3700000
09/22/2010,IGGRC10D,,,,11.0800000
09/23/2010,IGGRC10D,,,,11.1300000
09/24/2010,IGGRC10D,,,,11.0800000
09/27/2010,IGGRC10D,,,,11.0200000
09/28/2010,IGGRC10D,,,,10.9600000
09/29/2010,IGGRC10D,,,,10.8400000
09/30/2010,IGGRC10D,,,,10.4800000
10/01/2010,IGGRC10D,,,,10.2600000
10/04/2010,IGGRC10D,,,,10.0300000
10/05/2010,IGGRC10D,,,,10.0300000
10/06/2010,IGGRC10D,,,,9.9000000
10/07/2010,IGGRC10D,,,,9.8700000
10/08/2010,IGGRC10D,,,,9.8300000
10/11/2010,IGGRC10D,,,,9.5900000
10/12/2010,IGGRC10D,,,,9.3200000
10/13/2010,IGGRC10D,,,,9.0000000
10/14/2010,IGGRC10D,,,,8.8500000
10/15/2010,IGGRC10D,,,,9.0500000
10/18/2010,IGGRC10D,,,,8.9200000
10/19/2010,IGGRC10D,,,,8.9800000
10/20/2010,IGGRC10D,,,,9.0200000
10/21/2010,IGGRC10D,,,,9.3100000
10/22/2010,IGGRC10D,,,,9.3300000
10/25/2010,IGGRC10D,,,,9.4000000
10/26/2010,IGGRC10D,,,,9.7300000
10/27/2010,IGGRC10D,,,,10.2100000
10/28/2010,IGGRC10D,,,,10.4050000
10/29/2010,IGGRC10D,,,,10.7600000
11/01/2010,IGGRC10D,,,,10.6900000
11/02/2010,IGGRC10D,,,,10.9700000
11/03/2010,IGGRC10D,,,,10.8200000
11/04/2010,IGGRC10D,,,,11.1000000
11/05/2010,IGGRC10D,,,,11.4200000
11/08/2010,IGGRC10D,,,,11.3200000
11/09/2010,IGGRC10D,,,,11.4600000
11/10/2010,IGGRC10D,,,,11.4700000
11/11/2010,IGGRC10D,,,,11.7700000
11/12/2010,IGGRC10D,,,,11.4100000
11/15/2010,IGGRC10D,,,,11.4200000
11/16/2010,IGGRC10D,,,,11.5100000
11/17/2010,IGGRC10D,,,,11.6800000
11/18/2010,IGGRC10D,,,,11.5900000
11/19/2010,IGGRC10D,,,,11.5800000
11/22/2010,IGGRC10D,,,,11.6600000
11/23/2010,IGGRC10D,,,,11.9500000
11/24/2010,IGGRC10D,,,,12.1300000
11/25/2010,IGGRC10D,,,,11.9200000
11/26/2010,IGGRC10D,,,,12.0100000
11/29/2010,IGGRC10D,,,,11.6800000
11/30/2010,IGGRC10D,,,,12.0000000
12/01/2010,IGGRC10D,,,,11.8600000
12/02/2010,IGGRC10D,,,,11.8100000
12/03/2010,IGGRC10D,,,,11.6500000
12/06/2010,IGGRC10D,,,,11.7100000
12/07/2010,IGGRC10D,,,,11.7300000
12/08/2010,IGGRC10D,,,,11.7900000
12/09/2010,IGGRC10D,,,,11.7600000
12/10/2010,IGGRC10D,,,,11.7500000
12/13/2010,IGGRC10D,,,,11.7200000
12/14/2010,IGGRC10D,,,,11.7100000
12/15/2010,IGGRC10D,,,,11.8600000
12/16/2010,IGGRC10D,,,,11.9100000
12/17/2010,IGGRC10D,,,,12.0800000
12/20/2010,IGGRC10D,,,,11.9900000
12/21/2010,IGGRC10D,,,,12.0900000
12/22/2010,IGGRC10D,,,,12.1000000
12/23/2010,IGGRC10D,,,,12.2600000
12/24/2010,IGGRC10D,,,,12.1860000
12/27/2010,IGGRC10D,,,,12.3100000
12/28/2010,IGGRC10D,,,,12.3600000
12/29/2010,IGGRC10D,,,,12.4900000
12/30/2010,IGGRC10D,,,,12.5100000
12/31/2010,IGGRC10D,,,,12.5500000
01/03/2011,IGGRC10D,,,,12.6300000
01/04/2011,IGGRC10D,,,,12.6800000
01/05/2011,IGGRC10D,,,,12.6500000
01/06/2011,IGGRC10D,,,,12.6380000
01/07/2011,IGGRC10D,,,,12.7300000
01/10/2011,IGGRC10D,,,,12.5700000
01/11/2011,IGGRC10D,,,,12.4400000
01/12/2011,IGGRC10D,,,,11.7300000
01/13/2011,IGGRC10D,,,,11.2500000
01/14/2011,IGGRC10D,,,,11.2400000
01/17/2011,IGGRC10D,,,,11.1200000
01/18/2011,IGGRC10D,,,,11.2400000
01/19/2011,IGGRC10D,,,,11.6300000
01/20/2011,IGGRC10D,,,,11.3900000
01/21/2011,IGGRC10D,,,,11.2300000
01/24/2011,IGGRC10D,,,,11.1500000
01/25/2011,IGGRC10D,,,,11.2800000
01/26/2011,IGGRC10D,,,,11.3100000
01/27/2011,IGGRC10D,,,,11.4000000
01/28/2011,IGGRC10D,,,,11.4300000
01/31/2011,IGGRC10D,,,,11.4300000
02/01/2011,IGGRC10D,,,,10.9700000
02/02/2011,IGGRC10D,,,,10.6200000
02/03/2011,IGGRC10D,,,,10.8000000
02/04/2011,IGGRC10D,,,,10.7900000
02/07/2011,IGGRC10D,,,,10.8600000
02/08/2011,IGGRC10D,,,,11.1500000
02/09/2011,IGGRC10D,,,,11.1800000
02/10/2011,IGGRC10D,,,,11.3900000
02/11/2011,IGGRC10D,,,,11.3800000
02/14/2011,IGGRC10D,,,,11.5500000
02/15/2011,IGGRC10D,,,,11.8100000
02/16/2011,IGGRC10D,,,,11.7900000
02/17/2011,IGGRC10D,,,,11.7500000
02/18/2011,IGGRC10D,,,,11.6700000
02/21/2011,IGGRC10D,,,,11.6300000
02/22/2011,IGGRC10D,,,,11.6600000
02/23/2011,IGGRC10D,,,,11.6200000
02/24/2011,IGGRC10D,,,,11.7100000
02/25/2011,IGGRC10D,,,,11.8600000
02/28/2011,IGGRC10D,,,,11.7900000
03/01/2011,IGGRC10D,,,,11.8200000
03/02/2011,IGGRC10D,,,,11.9300000
03/03/2011,IGGRC10D,,,,11.9700000
03/04/2011,IGGRC10D,,,,12.1400000
03/08/2011,IGGRC10D,,,,12.7400000
03/09/2011,IGGRC10D,,,,12.8500000
03/10/2011,IGGRC10D,,,,12.7000000
03/11/2011,IGGRC10D,,,,12.7600000
03/14/2011,IGGRC10D,,,,12.1700000
03/15/2011,IGGRC10D,,,,12.5000000
03/16/2011,IGGRC10D,,,,12.3900000
03/17/2011,IGGRC10D,,,,12.2700000
03/18/2011,IGGRC10D,,,,12.2300000
03/21/2011,IGGRC10D,,,,12.2200000
03/22/2011,IGGRC10D,,,,12.3800000
03/23/2011,IGGRC10D,,,,12.5700000
03/24/2011,IGGRC10D,,,,12.5200000
03/28/2011,IGGRC10D,,,,12.6100000
03/29/2011,IGGRC10D,,,,12.6900000
03/30/2011,IGGRC10D,,,,12.8200000
03/31/2011,IGGRC10D,,,,12.8800000
04/01/2011,IGGRC10D,,,,12.9600000
04/04/2011,IGGRC10D,,,,12.8000000
04/05/2011,IGGRC10D,,,,12.6400000
04/06/2011,IGGRC10D,,,,12.7500000
04/07/2011,IGGRC10D,,,,12.7200000
04/08/2011,IGGRC10D,,,,12.9400000
04/11/2011,IGGRC10D,,,,12.9200000
04/12/2011,IGGRC10D,,,,12.8700000
04/13/2011,IGGRC10D,,,,12.9700000
04/14/2011,IGGRC10D,,,,13.3500000
04/15/2011,IGGRC10D,,,,13.3900000
04/18/2011,IGGRC10D,,,,14.1400000
04/19/2011,IGGRC10D,,,,14.6500000
04/20/2011,IGGRC10D,,,,14.6800000
04/21/2011,IGGRC10D,,,,14.7700000
04/26/2011,IGGRC10D,,,,15.1800000
04/27/2011,IGGRC10D,,,,16.0500000
04/28/2011,IGGRC10D,,,,15.9700000
04/29/2011,IGGRC10D,,,,15.5900000
05/02/2011,IGGRC10D,,,,15.6400000
05/03/2011,IGGRC10D,,,,15.1600000
05/04/2011,IGGRC10D,,,,15.3100000
05/05/2011,IGGRC10D,,,,15.5500000
05/06/2011,IGGRC10D,,,,15.5600000
05/09/2011,IGGRC10D,,,,15.6800000
05/10/2011,IGGRC10D,,,,15.4800000
05/11/2011,IGGRC10D,,,,15.5400000
05/12/2011,IGGRC10D,,,,15.6500000
05/13/2011,IGGRC10D,,,,15.3500000
05/16/2011,IGGRC10D,,,,15.5400000
05/17/2011,IGGRC10D,,,,15.7300000
05/18/2011,IGGRC10D,,,,15.6100000
05/19/2011,IGGRC10D,,,,15.8800000
05/20/2011,IGGRC10D,,,,16.6200000
05/23/2011,IGGRC10D,,,,17.0400000
05/24/2011,IGGRC10D,,,,16.9700000
05/25/2011,IGGRC10D,,,,16.6600000
05/26/2011,IGGRC10D,,,,16.5400000
05/27/2011,IGGRC10D,,,,16.3600000
05/30/2011,IGGRC10D,,,,16.5800000
05/31/2011,IGGRC10D,,,,16.1100000
06/01/2011,IGGRC10D,,,,16.1100000
06/02/2011,IGGRC10D,,,,16.3500000
06/03/2011,IGGRC10D,,,,16.1700000
06/06/2011,IGGRC10D,,,,15.8900000
06/07/2011,IGGRC10D,,,,15.8300000
06/08/2011,IGGRC10D,,,,16.0400000
06/09/2011,IGGRC10D,,,,16.6800000
06/10/2011,IGGRC10D,,,,16.8900000
06/14/2011,IGGRC10D,,,,17.3300000
06/15/2011,IGGRC10D,,,,17.6000000
06/16/2011,IGGRC10D,,,,17.6000000
06/17/2011,IGGRC10D,,,,17.6000000
06/20/2011,IGGRC10D,,,,17.6100000
06/21/2011,IGGRC10D,,,,17.1000000
06/22/2011,IGGRC10D,,,,16.7700000
06/23/2011,IGGRC10D,,,,16.7100000
06/24/2011,IGGRC10D,,,,16.6400000
06/27/2011,IGGRC10D,,,,16.7400000
06/28/2011,IGGRC10D,,,,16.4800000
06/29/2011,IGGRC10D,,,,16.2800000
06/30/2011,IGGRC10D,,,,16.1600000
07/01/2011,IGGRC10D,,,,16.3000000
07/04/2011,IGGRC10D,,,,16.1900000
07/05/2011,IGGRC10D,,,,16.1600000
07/06/2011,IGGRC10D,,,,16.3900000
07/07/2011,IGGRC10D,,,,16.5700000
07/08/2011,IGGRC10D,,,,16.6000000
07/11/2011,IGGRC10D,,,,16.7400000
07/12/2011,IGGRC10D,,,,16.3800000
07/13/2011,IGGRC10D,,,,16.5600000
07/14/2011,IGGRC10D,,,,16.6600000
07/15/2011,IGGRC10D,,,,17.2000000
07/18/2011,IGGRC10D,,,,17.9300000
07/19/2011,IGGRC10D,,,,18.0500000
07/20/2011,IGGRC10D,,,,17.5400000
07/21/2011,IGGRC10D,,,,16.4100000
07/22/2011,IGGRC10D,,,,14.7400000
07/25/2011,IGGRC10D,,,,14.5600000
07/26/2011,IGGRC10D,,,,14.5300000
07/27/2011,IGGRC10D,,,,14.5500000
07/28/2011,IGGRC10D,,,,14.4900000
07/29/2011,IGGRC10D,,,,14.5900000
08/01/2011,IGGRC10D,,,,14.6900000
08/02/2011,IGGRC10D,,,,14.7300000
08/03/2011,IGGRC10D,,,,14.7700000
08/04/2011,IGGRC10D,,,,15.1700000
08/05/2011,IGGRC10D,,,,15.0700000
08/08/2011,IGGRC10D,,,,14.6600000
08/09/2011,IGGRC10D,,,,14.9500000
08/10/2011,IGGRC10D,,,,15.0200000
08/11/2011,IGGRC10D,,,,15.2100000
08/12/2011,IGGRC10D,,,,15.3000000
08/16/2011,IGGRC10D,,,,15.2600000
08/17/2011,IGGRC10D,,,,15.4700000
08/18/2011,IGGRC10D,,,,15.5500000
08/19/2011,IGGRC10D,,,,16.0400000
08/22/2011,IGGRC10D,,,,16.7100000
08/23/2011,IGGRC10D,,,,16.8500000
08/24/2011,IGGRC10D,,,,17.6500000
08/25/2011,IGGRC10D,,,,17.5400000
08/26/2011,IGGRC10D,,,,17.4800000
08/29/2011,IGGRC10D,,,,17.2000000
08/30/2011,IGGRC10D,,,,17.2700000
08/31/2011,IGGRC10D,,,,17.2000000
09/01/2011,IGGRC10D,,,,18.0300000
09/02/2011,IGGRC10D,,,,18.5400000
09/05/2011,IGGRC10D,,,,19.2800000
09/06/2011,IGGRC10D,,,,19.4200000
09/07/2011,IGGRC10D,,,,20.7400000
09/08/2011,IGGRC10D,,,,20.7900000
09/09/2011,IGGRC10D,,,,21.0100000
09/12/2011,IGGRC10D,,,,22.5400000
09/13/2011,IGGRC10D,,,,25.0600000
09/14/2011,IGGRC10D,,,,25.6000000
09/15/2011,IGGRC10D,,,,22.9700000
09/16/2011,IGGRC10D,,,,21.7500000
09/19/2011,IGGRC10D,,,,23.7600000
09/20/2011,IGGRC10D,,,,23.8900000
09/21/2011,IGGRC10D,,,,24.2600000
09/22/2011,IGGRC10D,,,,22.0800000
09/23/2011,IGGRC10D,,,,22.0800000
09/26/2011,IGGRC10D,,,,22.7300000
09/27/2011,IGGRC10D,,,,24.7500000
09/28/2011,IGGRC10D,,,,23.5400000
09/29/2011,IGGRC10D,,,,22.8400000
09/30/2011,IGGRC10D,,,,22.9800000
10/03/2011,IGGRC10D,,,,22.9400000
10/04/2011,IGGRC10D,,,,23.8900000
10/05/2011,IGGRC10D,,,,24.2000000
10/06/2011,IGGRC10D,,,,24.2800000
10/07/2011,IGGRC10D,,,,24.1200000
10/10/2011,IGGRC10D,,,,24.6900000
10/11/2011,IGGRC10D,,,,24.8700000
10/12/2011,IGGRC10D,,,,24.8200000
10/13/2011,IGGRC10D,,,,24.8000000
10/14/2011,IGGRC10D,,,,24.8200000
10/17/2011,IGGRC10D,,,,24.6700000
10/18/2011,IGGRC10D,,,,24.6000000
10/19/2011,IGGRC10D,,,,25.1000000
10/20/2011,IGGRC10D,,,,25.0900000
10/21/2011,IGGRC10D,,,,25.1400000
10/24/2011,IGGRC10D,,,,25.1700000
10/25/2011,IGGRC10D,,,,24.4000000
10/26/2011,IGGRC10D,,,,24.4000000
10/27/2011,IGGRC10D,,,,23.6100000
10/28/2011,IGGRC10D,,,,24.2400000
11/01/2011,IGGRC10D,,,,28.1800000
11/02/2011,IGGRC10D,,,,28.4100000
11/03/2011,IGGRC10D,,,,33.6700000
11/04/2011,IGGRC10D,,,,32.3600000
11/08/2011,IGGRC10D,,,,32.8100000
11/09/2011,IGGRC10D,,,,32.3200000
11/10/2011,IGGRC10D,,,,32.4700000
11/11/2011,IGGRC10D,,,,32.9700000
11/14/2011,IGGRC10D,,,,31.8800000
11/15/2011,IGGRC10D,,,,32.2900000
11/16/2011,IGGRC10D,,,,33.2800000
11/17/2011,IGGRC10D,,,,33.6200000
11/18/2011,IGGRC10D,,,,26.1400000
11/21/2011,IGGRC10D,,,,27.4500000
11/22/2011,IGGRC10D,,,,26.7900000
11/23/2011,IGGRC10D,,,,28.7700000
11/24/2011,IGGRC10D,,,,27.9500000
11/25/2011,IGGRC10D,,,,28.7700000
11/28/2011,IGGRC10D,,,,28.5900000
11/29/2011,IGGRC10D,,,,28.7500000
11/30/2011,IGGRC10D,,,,28.8700000
12/01/2011,IGGRC10D,,,,32.1200000
12/02/2011,IGGRC10D,,,,32.3900000
12/05/2011,IGGRC10D,,,,32.1300000
12/06/2011,IGGRC10D,,,,32.2600000
12/07/2011,IGGRC10D,,,,36.3700000
12/08/2011,IGGRC10D,,,,37.9600000
12/09/2011,IGGRC10D,,,,32.6200000
12/12/2011,IGGRC10D,,,,32.5800000
12/13/2011,IGGRC10D,,,,32.9000000
12/14/2011,IGGRC10D,,,,37.1500000
12/15/2011,IGGRC10D,,,,36.0100000
12/16/2011,IGGRC10D,,,,33.3300000
12/19/2011,IGGRC10D,,,,33.5000000
12/20/2011,IGGRC10D,,,,38.2500000
12/21/2011,IGGRC10D,,,,36.0300000
12/22/2011,IGGRC10D,,,,38.7600000
12/23/2011,IGGRC10D,,,,33.8100000
12/27/2011,IGGRC10D,,,,33.8300000
12/28/2011,IGGRC10D,,,,38.0600000
12/29/2011,IGGRC10D,,,,37.1700000
12/30/2011,IGGRC10D,,,,33.9700000
01/02/2012,IGGRC10D,,,,33.9700000
01/03/2012,IGGRC10D,,,,33.9700000
01/04/2012,IGGRC10D,,,,37.9800000
01/05/2012,IGGRC10D,,,,37.9900000
01/06/2012,IGGRC10D,,,,37.9900000
01/09/2012,IGGRC10D,,,,37.9900000
01/10/2012,IGGRC10D,,,,34.2700000
01/11/2012,IGGRC10D,,,,34.1800000
01/12/2012,IGGRC10D,,,,33.0600000
01/13/2012,IGGRC10D,,,,35.3400000
01/16/2012,IGGRC10D,,,,33.0600000
01/17/2012,IGGRC10D,,,,34.2500000
01/18/2012,IGGRC10D,,,,34.3000000
01/19/2012,IGGRC10D,,,,37.3300000
01/20/2012,IGGRC10D,,,,34.8300000
01/23/2012,IGGRC10D,,,,36.7900000
01/24/2012,IGGRC10D,,,,34.6700000
01/25/2012,IGGRC10D,,,,37.2000000
01/26/2012,IGGRC10D,,,,35.7300000
01/27/2012,IGGRC10D,,,,33.7100000
01/30/2012,IGGRC10D,,,,33.7100000
01/31/2012,IGGRC10D,,,,35.7200000
02/01/2012,IGGRC10D,,,,34.3100000
02/02/2012,IGGRC10D,,,,34.3700000
02/03/2012,IGGRC10D,,,,34.3700000
02/06/2012,IGGRC10D,,,,34.0600000
02/07/2012,IGGRC10D,,,,34.0900000
02/08/2012,IGGRC10D,,,,33.7400000
02/09/2012,IGGRC10D,,,,32.5300000
02/10/2012,IGGRC10D,,,,33.1200000
02/13/2012,IGGRC10D,,,,33.1000000
02/14/2012,IGGRC10D,,,,33.1300000
02/15/2012,IGGRC10D,,,,34.5800000
02/16/2012,IGGRC10D,,,,35.6000000
02/17/2012,IGGRC10D,,,,35.0700000
02/20/2012,IGGRC10D,,,,34.5800000
02/21/2012,IGGRC10D,,,,35.0800000
02/22/2012,IGGRC10D,,,,35.0800000
02/23/2012,IGGRC10D,,,,37.4300000
02/24/2012,IGGRC10D,,,,35.3600000
02/27/2012,IGGRC10D,,,,35.7900000
02/28/2012,IGGRC10D,,,,36.5200000
02/29/2012,IGGRC10D,,,,36.6200000
03/01/2012,IGGRC10D,,,,36.3300000
03/02/2012,IGGRC10D,,,,34.9700000
03/05/2012,IGGRC10D,,,,35.0400000
03/06/2012,IGGRC10D,,,,38.2000000
03/07/2012,IGGRC10D,,,,41.7700000
03/08/2012,IGGRC10D,,,,43.9200000
03/09/2012,IGGRC10D,,,,38.9700000
03/12/2012,IGGRC10D,,,,19.0500000
03/13/2012,IGGRC10D,,,,19.1900000
03/14/2012,IGGRC10D,,,,18.2100000
03/15/2012,IGGRC10D,,,,18.1400000
03/16/2012,IGGRC10D,,,,17.8700000
03/19/2012,IGGRC10D,,,,17.9000000
03/20/2012,IGGRC10D,,,,17.9300000
03/21/2012,IGGRC10D,,,,18.1600000
03/22/2012,IGGRC10D,,,,19.4200000
03/23/2012,IGGRC10D,,,,20.3400000
03/26/2012,IGGRC10D,,,,20.2000000
03/27/2012,IGGRC10D,,,,19.8500000
03/28/2012,IGGRC10D,,,,19.7800000
03/29/2012,IGGRC10D,,,,20.5800000
03/30/2012,IGGRC10D,,,,20.9900000
04/02/2012,IGGRC10D,,,,21.0900000
04/03/2012,IGGRC10D,,,,21.2700000
04/04/2012,IGGRC10D,,,,22.1600000
04/05/2012,IGGRC10D,,,,21.7800000
04/09/2012,IGGRC10D,,,,22.3100000
04/10/2012,IGGRC10D,,,,22.0600000
04/11/2012,IGGRC10D,,,,21.4300000
04/12/2012,IGGRC10D,,,,21.0800000
04/13/2012,IGGRC10D,,,,21.1100000
04/16/2012,IGGRC10D,,,,21.0200000
04/17/2012,IGGRC10D,,,,21.0600000
04/18/2012,IGGRC10D,,,,21.1000000
04/19/2012,IGGRC10D,,,,21.2400000
04/20/2012,IGGRC10D,,,,21.3400000
04/23/2012,IGGRC10D,,,,21.4800000
04/24/2012,IGGRC10D,,,,21.4500000
04/25/2012,IGGRC10D,,,,21.1400000
04/26/2012,IGGRC10D,,,,21.0800000
04/27/2012,IGGRC10D,,,,20.5000000
04/30/2012,IGGRC10D,,,,20.3800000
05/01/2012,IGGRC10D,,,,20.3800000
05/02/2012,IGGRC10D,,,,20.3900000
05/03/2012,IGGRC10D,,,,20.8900000
05/04/2012,IGGRC10D,,,,20.7400000
05/07/2012,IGGRC10D,,,,22.9500000
05/08/2012,IGGRC10D,,,,23.5300000
05/09/2012,IGGRC10D,,,,23.7800000
05/10/2012,IGGRC10D,,,,24.0700000
05/11/2012,IGGRC10D,,,,24.5400000
05/14/2012,IGGRC10D,,,,28.4400000
05/15/2012,IGGRC10D,,,,29.2400000
05/16/2012,IGGRC10D,,,,28.4100000
05/17/2012,IGGRC10D,,,,29.0800000
05/18/2012,IGGRC10D,,,,29.3900000
05/21/2012,IGGRC10D,,,,28.9000000
05/22/2012,IGGRC10D,,,,29.6600000
05/23/2012,IGGRC10D,,,,29.9200000
05/24/2012,IGGRC10D,,,,29.2400000
05/25/2012,IGGRC10D,,,,29.8200000
05/28/2012,IGGRC10D,,,,28.4700000
05/29/2012,IGGRC10D,,,,29.9700000
05/30/2012,IGGRC10D,,,,29.1000000
05/31/2012,IGGRC10D,,,,31.1700000
06/01/2012,IGGRC10D,,,,30.5400000
06/04/2012,IGGRC10D,,,,30.0100000
06/05/2012,IGGRC10D,,,,30.0100000
06/06/2012,IGGRC10D,,,,28.7100000
06/07/2012,IGGRC10D,,,,28.5400000
06/08/2012,IGGRC10D,,,,29.0300000
06/11/2012,IGGRC10D,,,,28.7300000
06/12/2012,IGGRC10D,,,,29.3500000
06/13/2012,IGGRC10D,,,,29.0600000
06/14/2012,IGGRC10D,,,,28.5300000
06/15/2012,IGGRC10D,,,,27.2500000
06/18/2012,IGGRC10D,,,,26.0000000
06/19/2012,IGGRC10D,,,,26.2500000
06/20/2012,IGGRC10D,,,,26.4600000
06/21/2012,IGGRC10D,,,,26.8200000
06/22/2012,IGGRC10D,,,,26.6700000
06/25/2012,IGGRC10D,,,,26.6800000
06/26/2012,IGGRC10D,,,,26.6400000
06/27/2012,IGGRC10D,,,,26.6000000
06/28/2012,IGGRC10D,,,,26.8100000
06/29/2012,IGGRC10D,,,,25.8900000
07/02/2012,IGGRC10D,,,,25.8900000
07/03/2012,IGGRC10D,,,,26.2300000
07/04/2012,IGGRC10D,,,,26.1500000
07/05/2012,IGGRC10D,,,,25.8300000
07/06/2012,IGGRC10D,,,,26.2100000
07/09/2012,IGGRC10D,,,,25.7000000
07/10/2012,IGGRC10D,,,,25.5200000
07/11/2012,IGGRC10D,,,,25.4000000
07/12/2012,IGGRC10D,,,,24.8700000
07/13/2012,IGGRC10D,,,,24.6700000
07/16/2012,IGGRC10D,,,,24.6300000
07/17/2012,IGGRC10D,,,,24.2600000
07/18/2012,IGGRC10D,,,,24.5200000
07/19/2012,IGGRC10D,,,,25.3700000
07/20/2012,IGGRC10D,,,,26.0100000
07/23/2012,IGGRC10D,,,,26.9900000
07/24/2012,IGGRC10D,,,,27.9200000
07/25/2012,IGGRC10D,,,,27.3400000
07/26/2012,IGGRC10D,,,,27.4000000
07/27/2012,IGGRC10D,,,,26.0500000
07/30/2012,IGGRC10D,,,,25.2300000
07/31/2012,IGGRC10D,,,,25.6300000
08/01/2012,IGGRC10D,,,,26.1800000
08/02/2012,IGGRC10D,,,,25.9500000
08/03/2012,IGGRC10D,,,,25.2200000
08/06/2012,IGGRC10D,,,,25.1400000
08/07/2012,IGGRC10D,,,,24.9700000
08/08/2012,IGGRC10D,,,,24.4300000
08/09/2012,IGGRC10D,,,,24.3200000
08/10/2012,IGGRC10D,,,,24.3000000
08/13/2012,IGGRC10D,,,,24.4100000
08/14/2012,IGGRC10D,,,,24.5500000
08/15/2012,IGGRC10D,,,,24.4300000
08/17/2012,IGGRC10D,,,,24.2000000
08/20/2012,IGGRC10D,,,,24.0000000
08/21/2012,IGGRC10D,,,,23.8900000
08/22/2012,IGGRC10D,,,,23.7900000
08/23/2012,IGGRC10D,,,,23.7500000
08/24/2012,IGGRC10D,,,,24.1200000
08/27/2012,IGGRC10D,,,,24.2400000
08/28/2012,IGGRC10D,,,,23.9300000
08/29/2012,IGGRC10D,,,,23.7500000
08/30/2012,IGGRC10D,,,,23.7500000
09/03/2012,IGGRC10D,,,,22.7500000
09/04/2012,IGGRC10D,,,,21.6400000
09/05/2012,IGGRC10D,,,,21.9700000
09/06/2012,IGGRC10D,,,,21.8400000
09/07/2012,IGGRC10D,,,,21.5800000
09/10/2012,IGGRC10D,,,,22.0200000
09/11/2012,IGGRC10D,,,,21.4700000
09/12/2012,IGGRC10D,,,,20.6800000
09/13/2012,IGGRC10D,,,,20.8200000
09/14/2012,IGGRC10D,,,,22.0500000
09/17/2012,IGGRC10D,,,,20.8400000
09/18/2012,IGGRC10D,,,,20.7500000
09/19/2012,IGGRC10D,,,,20.1500000
09/20/2012,IGGRC10D,,,,20.5000000
