iso3c,date,gain
BRN,2008,50.3190192068829
BRN,2009,52.3160435531569
BRN,2010,52.3602617415359
BRN,2011,52.3576437644997
BRN,2012,51.7104070459449
BRN,2013,52.2445415552422
BRN,2014,52.9434030195207
BRN,2015,52.5824001638994
BRN,2016,52.9710631272842
BRN,2017,53.3043410844609
BRN,2018,54.8148132082969
BRN,2019,54.5448821112335
BRN,2020,56.2329994827674
BRN,2021,56.058766637687
BRN,2022,56.0536683436019
BRN,2023,56.5834487435126
BTN,1995,42.9860993068892
BTN,1996,42.94853016467
BTN,1997,42.8530598168095
BTN,1998,42.7709131649594
BTN,1999,42.2251516460761
BTN,2000,41.6820990839576
BTN,2001,40.7845914291325
BTN,2002,41.2420763653717
BTN,2003,43.6410471322182
BTN,2004,42.6932961628835
BTN,2005,42.5850701708185
BTN,2006,41.4339349785206
BTN,2007,43.6288000291637
BTN,2008,44.4598666004133
BTN,2009,44.8809702913789
BTN,2010,44.4367145553454
BTN,2011,44.209629410924
BTN,2012,44.8234195050506
BTN,2013,45.076492768994
BTN,2014,47.4807150881915
BTN,2015,46.7096532499916
BTN,2016,48.5045000172727
BTN,2017,49.8996800787354
BTN,2018,50.6850810571228
BTN,2019,50.7638169571535
BTN,2020,51.1110569105718
BTN,2021,50.5820168270452
BTN,2022,50.3201307699217
BTN,2023,50.3771011565604
BWA,1995,43.2292439879953
BWA,1996,43.2847659805708
BWA,1997,43.4797299113827
BWA,1998,43.7310188172749
BWA,1999,44.034046077212
BWA,2000,44.2799146167919
BWA,2001,44.0212273187396
BWA,2002,43.6306575128738
BWA,2003,46.2141254685329
BWA,2004,45.0284435324175
BWA,2005,46.5091293867993
BWA,2006,45.4008365854665
BWA,2007,45.5552734494478
BWA,2008,45.9355455187531
BWA,2009,46.1032195097096
BWA,2010,46.5085467764356
BWA,2011,46.5999424091463
BWA,2012,46.9775856114489
BWA,2013,47.1123253194728
BWA,2014,48.0499560322177
BWA,2015,48.1136790005316
BWA,2016,49.4590183463933
BWA,2017,48.6941198697544
BWA,2018,49.3951773150172
BWA,2019,49.2510456767955
BWA,2020,49.0296518790139
BWA,2021,49.288472534803
BWA,2022,49.1162187040773
BWA,2023,49.1222558070764
CAF,1995,32.3461606435197
CAF,1996,32.437818480452
CAF,1997,32.2170835873618
