iso3c,year,y_res,gain_t,gain_lag1,gain_lag2
BGD,2011,0.36193066669438423,43.0378861754632,43.094571627811,41.6555240825617
BGR,2011,-0.15488980647139305,51.8192005274787,51.333959184002,51.3434780678536
BRA,2011,1.1107847533146042,52.3642685080462,51.7594874626458,50.6696846292268
BWA,2011,-0.0045911266640672466,46.5999424091463,46.5085467764356,46.1032195097096
CAN,2011,0.16348045443089063,70.1693515800989,70.0767560484498,70.8389318817843
CHE,2011,0.6134651485685363,72.0454953283938,72.3247980074761,71.5561945495683
CHN,2011,0.7936902924019655,56.9206445038063,56.5007072505874,54.5150214221924
CYP,2011,-0.6942916529573515,55.4563531456024,55.9218995399674,55.8980121618558
CZE,2011,0.5587962340548381,60.5458637107242,60.2123679583084,59.4248915722369
DEU,2011,0.189171673678114,70.0069274055526,70.2095677824154,69.1284744903149
DNK,2011,0.12694670683451753,73.5959556234573,73.0313119733704,72.8025948639438
ESP,2011,1.8965550768921569,61.0779324331338,60.8758647741173,60.8708433464452
FIN,2011,0.6101537734131417,74.6891220963358,74.5757914644322,74.4006091200968
FRA,2011,0.7089855185555292,67.982328238166,67.743962009878,67.0017819943224
GBR,2011,0.10774892301595047,69.8999589488052,69.9507654539286,69.1576185371669
GRC,2011,10.732751728803713,54.53158985808,54.9512735385959,55.1697107781957
HRV,2011,1.0595731616168393,52.11880407179,52.0927063097912,51.126687134172
HUN,2011,1.7808250384908972,56.1667327086734,55.5957232474907,56.2741783830491
IDN,2011,-0.18749673562146185,47.7688619259148,47.5589167916601,45.9363288906202
IND,2011,1.4167183448373804,46.4927712646829,46.5091573043895,45.1068250336921
IRL,2011,4.7108751394061095,63.5784798582946,63.9796118917882,64.2071157236078
ISL,2011,0.5362236265746669,71.1595178924912,71.4606702492557,71.3853543972406
ITA,2011,2.328820659900546,56.0311579482385,56.0538027641747,55.8088394820799
JPN,2011,0.09833279908827808,69.0982656996495,69.2181193442222,67.2215456256263
KEN,2011,2.6392645174717835,34.0133843394997,34.1778333054429,34.2761054125721
KOR,2011,0.1471693122781641,65.0208414136274,64.7572789768886,63.4487963748065
LTU,2011,0.44791411764375,56.651937796166,56.8476303183987,56.6111359841371
LUX,2011,0.33172566904993617,68.335502177084,67.6752755829204,66.1062169614345
LVA,2011,-1.5874231554214915,55.8607909656081,55.7294547805346,56.2864781239198
MEX,2011,0.6615332620787067,54.0847782382154,54.0524093186053,52.9349421746505
MLT,2011,1.2593427216779747,62.3437942027139,62.4576292121341,60.9566878466873
MYS,2011,0.42553884111642637,51.3137231451821,51.2566235767656,49.8419754759193
NAM,2011,0.18067657086696354,42.2166216571255,41.9111428562574,41.584818738472
NGA,2011,3.2588295154211178,44.0111091350177,44.8882291379277,43.6076785849554
NLD,2011,0.6718377299940226,68.3936292333294,67.9544509856229,67.8435110361007
NOR,2011,0.2511191000904145,76.1777991473141,76.1317311813398,75.1159116100588
NZL,2011,0.1909936546372646,74.6051972976444,74.6991713439473,74.510983536758
PAK,2011,0.8460410275044818,44.2257719398692,44.1603407874438,42.9662070082408
PER,2011,0.7466182689759275,46.1123932796579,45.585711352944,44.5006421186093
PHL,2011,-0.052250634523330675,39.6783291827089,38.9141222085519,38.5521818925664
POL,2011,1.324841158092192,58.1756377993473,57.3715417238753,56.7222825717928
