iso3,Date,deficit-to-gdp
ARE,2018-09-01,45533.526
ARE,2018-10-01,4.003
ARE,2018-10-01,45533.526
ARE,2018-11-01,4.003
ARE,2018-11-01,45533.526
ARE,2018-12-01,4.003
ARE,2018-12-01,45533.526
ARE,2019-01-01,2.885
ARE,2019-01-01,43939.817
ARE,2019-02-01,2.885
ARE,2019-02-01,43939.817
ARE,2019-03-01,2.885
ARE,2019-03-01,43939.817
ARE,2019-04-01,2.885
ARE,2019-04-01,43939.817
ARE,2019-05-01,2.885
ARE,2019-05-01,43939.817
ARE,2019-06-01,2.885
ARE,2019-06-01,43939.817
ARE,2019-07-01,2.885
ARE,2019-07-01,43939.817
ARE,2019-08-01,2.885
ARE,2019-08-01,43939.817
ARE,2019-09-01,2.885
ARE,2019-09-01,43939.817
ARE,2019-10-01,2.885
ARE,2019-10-01,43939.817
ARE,2019-11-01,2.885
ARE,2019-11-01,43939.817
ARE,2019-12-01,2.885
ARE,2019-12-01,43939.817
ARE,2020-01-01,-2.17
ARE,2020-01-01,37621.04
ARE,2020-02-01,-2.17
ARE,2020-02-01,37621.04
ARE,2020-03-01,-2.17
ARE,2020-03-01,37621.04
ARE,2020-04-01,-2.17
ARE,2020-04-01,37621.04
ARE,2020-05-01,-2.17
ARE,2020-05-01,37621.04
ARE,2020-06-01,-2.17
ARE,2020-06-01,37621.04
ARE,2020-07-01,-2.17
ARE,2020-07-01,37621.04
ARE,2020-08-01,-2.17
ARE,2020-08-01,37621.04
ARE,2020-09-01,-2.17
ARE,2020-09-01,37621.04
ARE,2020-10-01,-2.17
ARE,2020-10-01,37621.04
ARE,2020-11-01,-2.17
ARE,2020-11-01,37621.04
ARE,2020-12-01,-2.17
ARE,2020-12-01,37621.04
ARE,2021-01-01,4.334
ARE,2021-01-01,42103.083
ARE,2021-02-01,4.334
ARE,2021-02-01,42103.083
ARE,2021-03-01,4.334
ARE,2021-03-01,42103.083
ARE,2021-04-01,4.334
ARE,2021-04-01,42103.083
ARE,2021-05-01,4.334
ARE,2021-05-01,42103.083
ARE,2021-06-01,4.334
ARE,2021-06-01,42103.083
ARE,2021-07-01,4.334
ARE,2021-07-01,42103.083
ARE,2021-08-01,4.334
ARE,2021-08-01,42103.083
ARE,2021-09-01,4.334
ARE,2021-09-01,42103.083
ARE,2021-10-01,4.334
ARE,2021-10-01,42103.083
ARE,2021-11-01,4.334
ARE,2021-11-01,42103.083
ARE,2021-12-01,4.334
ARE,2021-12-01,42103.083
ARE,2022-01-01,10.489
ARE,2022-01-01,48861.364
ARE,2022-02-01,10.489
ARE,2022-02-01,48861.364
ARE,2022-03-01,10.489
ARE,2022-03-01,48861.364
ARE,2022-04-01,10.489
ARE,2022-04-01,48861.364
ARE,2022-05-01,10.489
ARE,2022-05-01,48861.364
ARE,2022-06-01,10.489
ARE,2022-06-01,48861.364
ARE,2022-07-01,10.489
ARE,2022-07-01,48861.364
ARE,2022-08-01,10.489
ARE,2022-08-01,48861.364
ARE,2022-09-01,10.489
ARE,2022-09-01,48861.364
ARE,2022-10-01,10.489
ARE,2022-10-01,48861.364
ARE,2022-11-01,10.489
ARE,2022-11-01,48861.364
ARE,2022-12-01,10.489
ARE,2022-12-01,48861.364
ARE,2023-01-01,6.557
ARE,2023-01-01,48146.063
ARE,2023-02-01,6.557
ARE,2023-02-01,48146.063
ARE,2023-03-01,6.557
ARE,2023-03-01,48146.063
ARE,2023-04-01,6.557
ARE,2023-04-01,48146.063
ARE,2023-05-01,6.557
ARE,2023-05-01,48146.063
ARE,2023-06-01,6.557
ARE,2023-06-01,48146.063
ARE,2023-07-01,6.557
ARE,2023-07-01,48146.063
ARE,2023-08-01,6.557
ARE,2023-08-01,48146.063
ARE,2023-09-01,6.557
ARE,2023-09-01,48146.063
ARE,2023-10-01,6.557
ARE,2023-10-01,48146.063
ARE,2023-11-01,6.557
ARE,2023-11-01,48146.063
ARE,2023-12-01,6.557
ARE,2023-12-01,48146.063
ARE,2024-01-01,5.541
ARE,2024-01-01,48830.171
ARE,2024-02-01,5.541
ARE,2024-02-01,48830.171
ARE,2024-03-01,5.541
ARE,2024-03-01,48830.171
ARE,2024-04-01,5.541
ARE,2024-04-01,48830.171
ARE,2024-05-01,5.541
ARE,2024-05-01,48830.171
ARE,2024-06-01,5.541
ARE,2024-06-01,48830.171
ARE,2024-07-01,5.541
ARE,2024-07-01,48830.171
ARE,2024-08-01,5.541
ARE,2024-08-01,48830.171
ARE,2024-09-01,5.541
ARE,2024-09-01,48830.171
ARE,2024-10-01,5.541
ARE,2024-10-01,48830.171
ARE,2024-11-01,5.541
ARE,2024-11-01,48830.171
ARE,2024-12-01,5.541
ARE,2024-12-01,48830.171
ARE,2025-01-01,3.635
ARE,2025-01-01,49498.384
ARE,2025-02-01,3.635
ARE,2025-02-01,49498.384
ARE,2025-03-01,3.635
ARE,2025-03-01,49498.384
ARE,2025-04-01,3.635
ARE,2025-04-01,49498.384
ARE,2025-05-01,3.635
ARE,2025-05-01,49498.384
ARE,2025-06-01,3.635
ARE,2025-06-01,49498.384
ARE,2025-07-01,3.635
ARE,2025-07-01,49498.384
ARE,2025-08-01,3.635
ARE,2025-08-01,49498.384
ARE,2025-09-01,3.635
ARE,2025-09-01,49498.384
ARE,2025-10-01,3.635
ARE,2025-10-01,49498.384
ARE,2025-11-01,3.635
ARE,2025-11-01,49498.384
ARE,2025-12-01,3.635
ARE,2025-12-01,49498.384
ARG,1990-01-01,4857.796
ARG,1990-02-01,4857.796
ARG,1990-03-01,4857.796
ARG,1990-04-01,4857.796
ARG,1990-05-01,4857.796
ARG,1990-06-01,4857.796
ARG,1990-07-01,4857.796
ARG,1990-08-01,4857.796
ARG,1990-09-01,4857.796
ARG,1990-10-01,4857.796
ARG,1990-11-01,4857.796
ARG,1990-12-01,4857.796
ARG,1991-01-01,6429.454
ARG,1991-02-01,6429.454
ARG,1991-03-01,6429.454
ARG,1991-04-01,6429.454
ARG,1991-05-01,6429.454
ARG,1991-06-01,6429.454
ARG,1991-07-01,6429.454
ARG,1991-08-01,6429.454
ARG,1991-09-01,6429.454
ARG,1991-10-01,6429.454
ARG,1991-11-01,6429.454
ARG,1991-12-01,6429.454
ARG,1992-01-01,7653.711
ARG,1992-02-01,7653.711
ARG,1992-03-01,7653.711
ARG,1992-04-01,7653.711
ARG,1992-05-01,7653.711
ARG,1992-06-01,7653.711
ARG,1992-07-01,7653.711
ARG,1992-08-01,7653.711
ARG,1992-09-01,7653.711
ARG,1992-10-01,7653.711
ARG,1992-11-01,7653.711
ARG,1992-12-01,7653.711
ARG,1993-01-01,1.257
