date,yield,iso3
1982-04-01,8.982727272727272,DEU
1982-05-01,8.814761904761905,DEU
1982-06-01,9.155909090909091,DEU
1982-07-01,9.26090909090909,DEU
1982-08-01,8.978181818181818,DEU
1982-09-01,8.72,DEU
1982-10-01,8.363809523809524,DEU
1982-11-01,8.289090909090909,DEU
1982-12-01,8.005652173913044,DEU
1983-01-01,7.7090476190476185,DEU
1983-02-01,7.7125,DEU
1983-03-01,7.421739130434782,DEU
1983-04-01,7.513333333333334,DEU
1983-05-01,7.690454545454545,DEU
1983-06-01,8.107272727272727,DEU
1983-07-01,8.23952380952381,DEU
1983-08-01,8.364782608695652,DEU
1983-09-01,8.476363636363637,DEU
1983-10-01,8.261428571428572,DEU
1983-11-01,8.307272727272727,DEU
1983-12-01,8.41090909090909,DEU
1984-01-01,8.374545454545455,DEU
1984-02-01,8.206666666666667,DEU
1984-03-01,8.117727272727272,DEU
1984-04-01,8.07952380952381,DEU
1984-05-01,8.240434782608697,DEU
1984-06-01,8.241904761904763,DEU
1984-07-01,8.239090909090908,DEU
1984-08-01,8.115652173913043,DEU
1984-09-01,7.898999999999999,DEU
1984-10-01,7.570869565217391,DEU
1984-11-01,7.254545454545454,DEU
1984-12-01,7.0423809523809515,DEU
1985-01-01,7.114347826086957,DEU
1985-02-01,7.592499999999999,DEU
1985-03-01,7.623809523809523,DEU
1985-04-01,7.306363636363637,DEU
1985-05-01,7.2013043478260865,DEU
1985-06-01,7.0489999999999995,DEU
1985-07-01,6.863913043478261,DEU
1985-08-01,6.58590909090909,DEU
1985-09-01,6.398095238095239,DEU
1985-10-01,6.590869565217392,DEU
1985-11-01,6.575714285714286,DEU
1985-12-01,6.454999999999999,DEU
1986-01-01,6.308260869565218,DEU
1986-02-01,6.227,DEU
1986-03-01,5.75047619047619,DEU
1986-04-01,5.362272727272727,DEU
1986-05-01,5.748636363636364,DEU
1986-06-01,5.868571428571428,DEU
1986-07-01,5.773478260869565,DEU
1986-08-01,5.598571428571429,DEU
1986-09-01,5.819545454545454,DEU
1986-10-01,6.1408695652173915,DEU
1986-11-01,6.1735,DEU
1986-12-01,5.954782608695653,DEU
1987-01-01,5.878095238095238,DEU
1987-02-01,5.944,DEU
1987-03-01,5.855909090909091,DEU
1987-04-01,5.6305,DEU
1987-05-01,5.5475,DEU
1987-06-01,5.841428571428572,DEU
1987-07-01,6.1808695652173915,DEU
1987-08-01,6.435714285714286,DEU
1987-09-01,6.670909090909091,DEU
1987-10-01,6.890000000000001,DEU
1987-11-01,6.329523809523809,DEU
1987-12-01,6.4071428571428575,DEU
1988-01-01,6.455500000000001,DEU
1988-02-01,6.257619047619047,DEU
