date,iso3c,year,yield_with_spread,sovereign_spread,cpi_yoy,gdp_annual_growth_rate,gdp_per_capita,gross gdp,debt_to_gdp,deficit_to_gdp,current_account_balance,vulnerability,wgi_cc,wgi_ge,wgi_pv,wgi_rl,wgi_rq,wgi_va,GAIN
2025-01-01,CHE,2025,0.4259988172541744,-3.979563123311525,0.18011421921011875,2.0,104895.588,947.125,36.897,52447.9755,5.041,,,,,,,,
1990-01-01,CHL,1990,,,25.912321808785837,,2521.569,33.231,,1263.1025,-1.457,,,,,,,,
1991-01-01,CHL,1991,,,21.959616538405697,,2849.743,38.249,37.104,1426.764,-0.258,,,,,,,,
1992-01-01,CHL,1992,,,15.53519593394278,,3392.088,46.597,30.492,1697.9865000000002,-2.057,,,,,,,,
1993-01-01,CHL,1993,,,12.725769691921613,,3572.096,49.855,28.087,1787.527,-5.122,,,,,,,,
1994-01-01,CHL,1994,,,11.513902516273818,,4058.5569999999993,57.517,22.61,2030.6774999999998,-2.756,,,,,,,,
1995-01-01,CHL,1995,,,8.231985632605207,,5153.88,74.119,17.25,2578.9695,-1.8150000000000002,0.359629264796037,,,,,,,11.2060066838094
1996-01-01,CHL,1996,,,7.37627938255497,,5387.405,78.575,14.583999999999998,2695.1095,-3.798,0.36090155451342304,1.454118728637695,1.3379769325256348,0.6764545440673828,1.113738179206848,1.5427600145339966,0.7227606177330017,10.9443490052035
1997-01-01,CHL,1997,,,6.138786000298162,7.375,5799.339,85.73,12.78,2901.0140000000006,-4.146,0.360207853970312,,,,,,,10.4395627344168
1998-01-01,CHL,1998,,,5.11784340095654,4.275,5475.545999999999,81.996,12.115,2738.2215,-4.659,0.361671389296743,1.2975072860717771,1.0974352359771729,0.0332812815904617,1.0976017713546753,1.3759194612503052,0.6190437078475952,10.0471208953256
1999-01-01,CHL,1999,,,3.3441416398559007,-0.24999999999999992,4985.768,75.596,13.277,2492.1455,0.256,0.362650549889141,,,,,,,10.6426062213806
2000-01-01,CHL,2000,,,3.8394650952457585,5.0,5099.922,78.25,13.146,2549.9334999999996,-1.011,0.361627976961374,1.5402181148529053,1.0055596828460691,0.4854641556739807,1.2609233856201172,1.4047327041625977,0.8888689875602722,11.1953076510307
2001-01-01,CHL,2001,,,3.5732153969581595,3.1750000000000003,4608.057,71.517,14.348,2304.0099999999998,-1.396,0.3601812898287,,,,,,,11.1589688743922
2002-01-01,CHL,2002,,,2.4877655422956577,3.1999999999999997,4479.771,70.295,15.045,2239.5465,-0.6830000000000002,0.359849629015075,1.4791653156280518,1.0784869194030762,1.0887963771820068,1.2572400569915771,1.3184963464736938,1.08718740940094,11.2464052652985
2003-01-01,CHL,2003,,,2.822153468537138,4.725,4824.87,76.508,12.573,2412.491,0.216,0.359878912476054,1.1671009063720703,1.1002451181411743,0.7616119384765625,1.177210807800293,1.3334413766860962,1.0561201572418213,9.91034511651978
2004-01-01,CHL,2004,,,1.0539746281644755,6.625,6183.906,99.079,10.314,3093.2274999999995,3.2610000000000006,0.35891098044726394,1.3058593273162842,1.117753028869629,0.6913416981697083,1.1656967401504517,1.367984175682068,1.2252850532531738,10.367286788638
2005-01-01,CHL,2005,,,3.046997164243144,5.825,7558.009000000001,122.315,7.04,3781.5075,1.913,0.35623162127674507,1.416527509689331,1.155609965324402,0.842383623123169,1.2102110385894775,1.312464714050293,1.292520523071289,11.0044334232798
2006-01-01,CHL,2006,,,3.4014848666566984,6.05,9410.392,153.84,5.022,4709.0365,5.497,0.35429977152434605,1.4125618934631348,0.9377381801605223,0.6130058765411377,1.1812912225723269,1.4238946437835691,1.0823447704315186,10.8001074684299
2007-01-01,CHL,2007,,,4.394090497575972,5.175,10447.116,172.56499999999997,3.901,5227.443,5.054,0.35578437999377205,1.3451499938964844,1.18673837184906,0.4063708782196045,1.1951875686645508,1.4855865240097046,1.104882001876831,10.7616064745138
2008-01-01,CHL,2008,,,8.710255323472637,3.8499999999999996,10759.738,179.663,4.916,5381.6555,-4.192,0.35420241968055094,1.3179868459701538,1.062142252922058,0.4319129586219787,1.2103573083877563,1.502484917640686,1.0135083198547363,11.0403172855854
2009-01-01,CHL,2009,,,0.4403979593625131,-1.1249999999999998,10176.733,171.794,5.845,5086.137,1.4400000000000002,0.352998469617533,1.3212348222732544,1.1375715732574463,0.6025844216346741,1.194090485572815,1.4273992776870728,1.0168962478637695,11.024022477551
2010-01-01,CHL,2010,,,1.4136620422297435,5.825,12723.064,217.105,8.607,6361.376,0.896,0.352105813465069,1.4416269063949585,1.1572418212890625,0.6796045303344727,1.2254157066345217,1.4151711463928225,1.0956462621688845,11.1634278048248
2011-01-01,CHL,2011,,,3.3386800341770146,6.2749999999999995,14560.249000000002,251.225,11.127,7280.8865,-4.92,0.35031888842493,1.4765926599502563,1.152272343635559,0.4525533616542816,1.263338565826416,1.440535306930542,1.0739091634750366,10.922835310984
2012-01-01,CHL,2012,,,3.0155487937143604,6.1499999999999995,15316.01,267.165,11.939,7658.401000000001,-5.326,0.34566121823271806,1.5435912609100342,1.1784435510635376,0.3311021029949188,1.2876567840576172,1.5361981391906738,1.076945185661316,11.6565231392202
2013-01-01,CHL,2013,,,1.7878860348003711,3.2999999999999994,15740.390999999998,277.218,12.784,7870.001,-4.778,0.34407985676078195,1.498928189277649,1.1580315828323364,0.3637425303459167,1.2551378011703491,1.4828718900680542,1.1062861680984497,11.6104307609845
2014-01-01,CHL,2014,,,4.714226464236195,1.7750000000000001,14582.85,259.394,15.020000000000001,7290.749,-3.462,0.337839215434602,1.4407341480255127,1.0350749492645264,0.447516918182373,1.3487036228179932,1.4845895767211914,1.0558971166610718,12.3910471589405
2015-01-01,CHL,2015,,,4.349558019473638,2.15,13494.489,242.515,17.375,6746.309,-2.733,0.337793204522337,1.1824573278427124,0.9188355803489684,0.4248717427253723,1.2197290658950806,1.3198426961898804,1.0045661926269531,11.5793934966101
2016-01-01,CHL,2016,,,3.795967426932819,1.8,13722.878000000002,249.306,21.101,6860.250499999999,-2.622,0.339256813077204,1.0227611064910889,0.8338437676429749,0.4024062156677246,0.9603935480117798,1.363908290863037,0.9958195686340332,10.1369934706375
2017-01-01,CHL,2017,,,2.1854788308608177,1.3499999999999999,15003.769999999999,276.357,23.652,7500.751500000001,-2.756,0.339239617375445,1.0016558170318604,0.8094556331634521,0.4062815904617309,0.9814754724502563,1.325499176979065,1.0005812644958496,9.64106160718256
