year,iso3c,yield_with_spread,sovereign_spread,cpi_yoy,gdp_annual_growth_rate,gdp_per_capita,gross gdp,debt_to_gdp,deficit_to_gdp,current_account_balance,vulnerability,wgi_cc,wgi_ge,wgi_pv,wgi_rl,wgi_rq,wgi_va,gain,population,mineral_rent
1988,MYS,6.316666666666666,-2.528122576285906,,,,,,,,,,,,,,,,,
1988,NLD,6.350282276012826,-2.4945069669397477,,,,,,,,,,,,,,,,,
1988,NOR,13.080537433009402,4.235748190056829,,-0.2249999999999999,,,,,,,,,,,,,,,
1988,NZL,13.116833249681074,4.272044006728502,,1.8503717077085938e-17,,,,,,,,,,,,,,,
1988,PAK,8.316666666666666,-0.5281225762859059,,,,,,,,,,,,,,,,,
1988,PER,,,,-9.0175,,,,,,,,,,,,,,,
1988,PHL,,,,6.575,,,,,,,,,,,,,,,
1988,PRT,14.155696969696969,5.3109077267443965,,,,,,,,,,,,,,,,,
1988,SAU,,,,13.1,,,,,,,,,,,,,,,
1988,SGP,,,,11.25,,,,,,,,,,,,,,,
1988,SWE,11.37807970601735,2.5332904630647763,,2.425,,,,,,,,,,,,,,,
1988,THA,7.5,-1.3447892429525723,,,,,,,,,,,,,,,,,
1988,TWN,,,,8.0325,,,,,,,,,,,,,,,
1988,USA,,,,4.175,,,,,,,,,,,,,,,
1988,ZAF,16.419999999999998,7.575210757047427,,,,,,,,,,,,,,,,,
1988,ZMB,,,,6.3,,,,,,,,,,,,,,,
