Date,Country,Rating
1991-05-01,CAN,AAA
1991-05-01,CHE,AAA
1991-05-01,DEU,AAA
1991-05-01,DNK,AA
1991-05-01,ESP,AA
1991-05-01,FIN,AAA
1991-05-01,FRA,AAA
1991-05-01,GBR,AAA
1991-05-01,GRC,BBB-
1991-05-01,HKG,A
1991-05-01,IRL,AA-
1991-05-01,ISL,A
1991-05-01,ISR,BBB-
1991-05-01,ITA,AA+
1991-05-01,JPN,AAA
1991-05-01,KOR,A+
1991-05-01,MYS,A-
1991-05-01,NLD,AAA
1991-05-01,NOR,AAA
1991-05-01,PRT,A
1991-05-01,SGP,AA
1991-05-01,SWE,AAA
1991-05-01,THA,A-
1991-05-01,TWN,AA
1991-06-01,AUT,AAA
1991-06-01,BEL,AA+
1991-06-01,CAN,AAA
1991-06-01,CHE,AAA
1991-06-01,DEU,AAA
1991-06-01,DNK,AA
1991-06-01,ESP,AA
1991-06-01,FIN,AAA
1991-06-01,FRA,AAA
1991-06-01,GBR,AAA
1991-06-01,GRC,BBB-
1991-06-01,HKG,A
1991-06-01,IRL,AA-
1991-06-01,ISL,A
1991-06-01,ISR,BBB-
1991-06-01,ITA,AA+
1991-06-01,JPN,AAA
1991-06-01,KOR,A+
1991-06-01,MYS,A-
1991-06-01,NLD,AAA
1991-06-01,NOR,AAA
1991-06-01,PRT,A
1991-06-01,SGP,AA
1991-06-01,SWE,AAA
1991-06-01,THA,A-
1991-06-01,TWN,AA
1991-07-01,AUT,AAA
1991-07-01,BEL,AA+
1991-07-01,CAN,AAA
1991-07-01,CHE,AAA
1991-07-01,DEU,AAA
1991-07-01,DNK,AA
1991-07-01,ESP,AA
1991-07-01,FIN,AAA
1991-07-01,FRA,AAA
1991-07-01,GBR,AAA
1991-07-01,GRC,BBB-
1991-07-01,HKG,A
1991-07-01,IRL,AA-
1991-07-01,ISL,A
1991-07-01,ISR,BBB-
1991-07-01,ITA,AA+
1991-07-01,JPN,AAA
1991-07-01,KOR,A+
1991-07-01,MYS,A
1991-07-01,NLD,AAA
1991-07-01,NOR,AAA
1991-07-01,PRT,A
1991-07-01,SGP,AA
1991-07-01,SWE,AAA
1991-07-01,THA,A-
1991-07-01,TWN,AA
1991-08-01,AUT,AAA
1991-08-01,BEL,AA+
1991-08-01,CAN,AAA
1991-08-01,CHE,AAA
1991-08-01,DEU,AAA
1991-08-01,DNK,AA
1991-08-01,ESP,AA
1991-08-01,FIN,AAA
1991-08-01,FRA,AAA
1991-08-01,GBR,AAA
1991-08-01,GRC,BBB-
1991-08-01,HKG,A
1991-08-01,IRL,AA-
1991-08-01,ISL,A
1991-08-01,ISR,BBB-
1991-08-01,ITA,AA+
1991-08-01,JPN,AAA
1991-08-01,KOR,A+
1991-08-01,MYS,A
1991-08-01,NLD,AAA
1991-08-01,NOR,AAA
1991-08-01,PRT,A
