iso3,Date,NEER
ARM,2007-05-01,90.98
ARM,2007-06-01,93.75
ARM,2007-07-01,94.0
ARM,2007-08-01,94.96
ARM,2007-09-01,93.13
ARM,2007-10-01,93.5
ARM,2007-11-01,95.43
ARM,2007-12-01,100.0
ARM,2008-01-01,98.38
ARM,2008-02-01,97.49
ARM,2008-03-01,94.44
ARM,2008-04-01,93.75
ARM,2008-05-01,94.81
ARM,2008-06-01,95.53
ARM,2008-07-01,95.32
ARM,2008-08-01,98.77
ARM,2008-09-01,101.99
ARM,2008-10-01,107.21
ARM,2008-11-01,111.66
ARM,2008-12-01,107.92
ARM,2009-01-01,111.12
ARM,2009-02-01,115.12
ARM,2009-03-01,95.36
ARM,2009-04-01,92.07
ARM,2009-05-01,89.28
ARM,2009-06-01,88.8
ARM,2009-07-01,88.82
ARM,2009-08-01,86.16
ARM,2009-09-01,83.29
ARM,2009-10-01,80.77
ARM,2009-11-01,80.0
ARM,2009-12-01,82.66
ARM,2010-01-01,84.1
ARM,2010-02-01,85.67
ARM,2010-03-01,82.84
ARM,2010-04-01,82.94
ARM,2010-05-01,88.83
ARM,2010-06-01,93.23
ARM,2010-07-01,92.12
ARM,2010-08-01,91.25
ARM,2010-09-01,91.28
ARM,2010-10-01,88.5
ARM,2010-11-01,89.23
ARM,2010-12-01,91.16
ARM,2011-01-01,89.33
ARM,2011-02-01,88.03
ARM,2011-03-01,85.73
ARM,2011-04-01,82.71
ARM,2011-05-01,82.87
ARM,2011-06-01,82.64
ARM,2011-07-01,84.71
ARM,2011-08-01,84.91
ARM,2011-09-01,86.7
ARM,2011-10-01,86.31
ARM,2011-11-01,85.39
ARM,2011-12-01,86.98
ARM,2012-01-01,86.73
ARM,2012-02-01,84.54
ARM,2012-03-01,84.61
ARM,2012-04-01,84.16
ARM,2012-05-01,84.8
ARM,2012-06-01,82.95
ARM,2012-07-01,84.0
ARM,2012-08-01,83.69
ARM,2012-09-01,82.3
ARM,2012-10-01,82.23
ARM,2012-11-01,82.79
ARM,2012-12-01,82.06
ARM,2013-01-01,81.2
ARM,2013-02-01,81.12
ARM,2013-03-01,81.24
ARM,2013-04-01,80.77
ARM,2013-05-01,81.23
ARM,2013-06-01,81.67
ARM,2013-07-01,82.81
ARM,2013-08-01,82.8
ARM,2013-09-01,82.42
ARM,2013-10-01,81.58
ARM,2013-11-01,82.66
ARM,2013-12-01,82.14
ARM,2014-01-01,82.58
ARM,2014-02-01,81.98
ARM,2014-03-01,80.99
ARM,2014-04-01,80.68
ARM,2014-05-01,80.81
ARM,2014-06-01,81.67
ARM,2014-07-01,82.67
ARM,2014-08-01,83.42
ARM,2014-09-01,85.7
ARM,2014-10-01,87.17
ARM,2014-11-01,86.92
ARM,2014-12-01,81.14
ARM,2015-01-01,82.57
ARM,2015-02-01,83.32
ARM,2015-03-01,85.48
ARM,2015-04-01,85.33
ARM,2015-05-01,82.33
ARM,2015-06-01,83.76
ARM,2015-07-01,84.77
ARM,2015-08-01,85.39
ARM,2015-09-01,85.44
ARM,2015-10-01,86.32
ARM,2015-11-01,87.23
ARM,2015-12-01,87.0
ARM,2016-01-01,87.79
ARM,2016-02-01,85.31
ARM,2016-03-01,85.45
ARM,2016-04-01,84.65
ARM,2016-05-01,85.44
ARM,2016-06-01,85.81
ARM,2016-07-01,86.79
ARM,2016-08-01,86.31
ARM,2016-09-01,86.56
ARM,2016-10-01,87.32
ARM,2016-11-01,88.48
ARM,2016-12-01,89.0
ARM,2017-01-01,88.02
ARM,2017-02-01,87.24
ARM,2017-03-01,87.3
ARM,2017-04-01,86.73
ARM,2017-05-01,85.62
ARM,2017-06-01,85.27
ARM,2017-07-01,84.76
ARM,2017-08-01,83.61
ARM,2017-09-01,82.85
ARM,2017-10-01,83.4
ARM,2017-11-01,83.06
ARM,2017-12-01,82.94
ARM,2018-01-01,81.11
ARM,2018-02-01,80.71
ARM,2018-03-01,81.1
ARM,2018-04-01,81.81
ARM,2018-05-01,83.86
ARM,2018-06-01,85.11
ARM,2018-07-01,85.61
ARM,2018-08-01,87.21
ARM,2018-09-01,87.07
ARM,2018-10-01,87.17
ARM,2018-11-01,87.26
ARM,2018-12-01,87.63
ARM,2019-01-01,86.96
ARM,2019-02-01,86.52
ARM,2019-03-01,86.98
ARM,2019-04-01,87.98
ARM,2019-05-01,89.32
ARM,2019-06-01,88.93
ARM,2019-07-01,89.32
ARM,2019-08-01,90.42
ARM,2019-09-01,90.86
ARM,2019-10-01,90.52
ARM,2019-11-01,90.2
ARM,2019-12-01,89.54
ARM,2020-01-01,89.27
ARM,2020-02-01,90.71
ARM,2020-03-01,90.29
ARM,2020-04-01,91.78
ARM,2020-05-01,92.19
ARM,2020-06-01,90.4
ARM,2020-07-01,89.06
ARM,2020-08-01,87.69
ARM,2020-09-01,87.98
