iso3,GAIN,date
AUT,7.41990160651957,2018-01-01
AUT,5.64592836899091,2019-01-01
AUT,6.34219716395567,2020-01-01
AUT,4.03876990444651,2021-01-01
AUT,0.765509242113737,2022-01-01
AUT,0.592978562035697,2023-01-01
AZE,-0.519793711817037,1995-01-01
AZE,-0.700783311701201,1996-01-01
AZE,-0.0942210256492828,1997-01-01
AZE,0.202111433298633,1998-01-01
AZE,0.0393449241862669,1999-01-01
AZE,-0.0912501231161613,2000-01-01
AZE,0.597915515313964,2001-01-01
AZE,2.63296887340334,2002-01-01
AZE,2.89501460013503,2003-01-01
AZE,2.7727068867739,2004-01-01
AZE,2.94740425274819,2005-01-01
AZE,-0.405039169485342,2006-01-01
AZE,-1.6814911947967,2007-01-01
AZE,-2.51937768228765,2008-01-01
AZE,-1.17928938420189,2009-01-01
AZE,-2.06218875412176,2010-01-01
AZE,-1.39608128110812,2011-01-01
AZE,-1.67671598229951,2012-01-01
AZE,-0.79600409370726,2013-01-01
AZE,0.161952388812111,2014-01-01
AZE,1.99351435276367,2015-01-01
AZE,3.36079036537217,2016-01-01
AZE,2.67713634207666,2017-01-01
AZE,2.61049779133332,2018-01-01
AZE,3.03620333729349,2019-01-01
AZE,2.43994273316667,2020-01-01
AZE,1.53906758461037,2021-01-01
AZE,-0.201052190741329,2022-01-01
AZE,-1.08739152132197,2023-01-01
BDI,-5.12662882818163,1995-01-01
BDI,-5.00162615578284,1996-01-01
BDI,-5.03607521795517,1997-01-01
BDI,-5.03672494176613,1998-01-01
BDI,-4.89482390875263,1999-01-01
BDI,-5.3163730571222,2000-01-01
BDI,-6.17188778261097,2001-01-01
BDI,-5.58122123310164,2002-01-01
BDI,-6.08508597402231,2003-01-01
BDI,-6.39096645125476,2004-01-01
BDI,-7.08912623376714,2005-01-01
BDI,-9.37136374001935,2006-01-01
BDI,-9.23083105225252,2007-01-01
BDI,-8.79764805030077,2008-01-01
BDI,-9.2848793455421,2009-01-01
BDI,-10.190306219387,2010-01-01
BDI,-10.9438854020651,2011-01-01
BDI,-12.1019417984214,2012-01-01
BDI,-10.1943887382056,2013-01-01
BDI,-7.82997633356108,2014-01-01
BDI,-7.70506884904749,2015-01-01
BDI,-7.00913030654785,2016-01-01
BDI,-7.10012205200905,2017-01-01
BDI,-7.65371578575203,2018-01-01
BDI,-7.71190709690332,2019-01-01
BDI,-8.09081936543348,2020-01-01
BDI,-8.11986439961641,2021-01-01
BDI,-7.75092638923862,2022-01-01
BDI,-7.86196115624917,2023-01-01
BEL,9.79701280449994,1995-01-01
BEL,9.94893560619064,1996-01-01
BEL,9.61465107942704,1997-01-01
BEL,9.08865700658258,1998-01-01
BEL,8.80999858008186,1999-01-01
BEL,8.39031938106957,2000-01-01
BEL,8.09530874263606,2001-01-01
BEL,7.93814096910235,2002-01-01
BEL,7.29679788233676,2003-01-01
BEL,7.14871164561306,2004-01-01
BEL,6.57214150771672,2005-01-01
BEL,6.7337707424054,2006-01-01
BEL,6.44556607522395,2007-01-01
BEL,6.57957146747419,2008-01-01
BEL,7.15409002186426,2009-01-01
BEL,6.03863402353841,2010-01-01
BEL,5.90853264540276,2011-01-01
BEL,5.97896569663709,2012-01-01
BEL,5.86811834289092,2013-01-01
BEL,6.03917416395557,2014-01-01
BEL,5.58036362783509,2015-01-01
BEL,4.65120010202143,2016-01-01
BEL,3.38245050309528,2017-01-01
BEL,2.0825290833305,2018-01-01
BEL,0.885555621240321,2019-01-01
BEL,1.37263785198883,2020-01-01
BEL,-0.193552978898474,2021-01-01
BEL,-2.92886209176454,2022-01-01
BEL,-3.96923732697417,2023-01-01
BEN,-5.46450940914568,1995-01-01
BEN,-5.627527543733,1996-01-01
BEN,-5.74097664283834,1997-01-01
BEN,-5.83358840129642,1998-01-01
